Time        Mag    	   MagErr      		Band         	GCN
8774       >18.9             ?                   ?              11555
8791       >19.2             ?                   ?              11555
693        >16.5             ?                   R              11552
1146       >20.4             ?                   R              11552  
1368       >21               ?                   I              11552
3786       >20.5             ?                   V              11552
2334       >20.3             ?                   R              11552
5268       >18.0             ?                   H              11552
2594       >20.4             ?                   z              11537
2300       >21.4             ?                   i              11537
2620       >22.5             ?                   r              11537
840        >20               ?                   R              11528
