z=   1.2620000e+00 0.
Total_Energy(erg)    5.8260433903173648e+07    8.6186541797799920e+05
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    1.7144120515007327e+02    8.2870027817925566e+03
