Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            318.6000               5.0000    1.0413572904737743e-16    1.4386883055321882e-18
            345.0000               5.0000    9.7095647306747614e-17    1.7885679721541415e-18
            370.8000               5.0000    9.3067867124310285e-17    1.7143735171707414e-18
            436.8000               5.0000    7.9652563980757670e-17    3.6681362344149406e-18
            465.0000               5.0000    7.4541780089658774e-17    1.3731103726464959e-18
            490.8000               5.0000    6.9630539359006238e-17    3.2066049312151330e-18
            723.0000              15.0000    4.5582669596445674e-17    2.0991595706634044e-18
            952.8000              15.0000    3.3143605760375322e-17    9.1579169698667628e-19
           1251.0000              30.0000    2.3966231626961962e-17    8.8294862829001190e-19
           1569.0000              30.0000    1.8080055134730684e-17    1.1823166123546851e-18
           1888.2000              30.0000    1.4763854251634654e-17    4.3513640567803963e-19
           2202.0000              30.0000    1.2234880953553171e-17    3.4933100583429476e-19
           2512.2000              30.0000    1.0442386101223735e-17    3.3662276569819183e-19
           2821.8000              30.0000    8.7983198456583900e-18    3.0793498668890820e-19
           3124.8000              30.0000    8.1283003953809377e-18    2.3956612941541615e-19
           3444.0000              30.0000    6.2287334123398661e-18    2.1226439892226786e-19
           4144.8000              30.0000    6.2863671738690125e-18    2.0264854064475980e-19
           4351.8000              60.0000    5.5004692713115173e-18    1.9757866304594007e-19
           4902.6000             120.0000    4.8350363333290134e-18    2.4047459076325467e-19
           5890.8000             180.0000    3.9156128097495519e-18    1.4425651112349794e-19
           7360.8000             240.0000    2.9457761304468065e-18    1.5193696897187355e-19
