Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             89.0000              11.7000    1.9588437521874938e-14    1.9665363304110313e-15
            125.5000              11.7000    1.2145063578364399e-14    1.2528338984178931e-15
            161.0000              11.7000    8.0686298020151274e-15    8.2489457839204642e-16
            197.0000              11.7000    4.8439515063330273e-15    5.0414319641681140e-16
            233.5000              11.7000    3.4737597963508706e-15    3.6473741542584014e-16
            269.5000              11.7000    3.5156026617757954e-15    3.7884479675023522e-16
            305.5000              11.7000    3.2329559263101646e-15    3.5136416930079466e-16
            360.0000              23.4000    2.3420695191063436e-15    1.9198419144880919e-16
            450.5000              35.1000    1.6780302276053919e-15    1.2827840539196122e-16
            577.5000              46.8000    1.0874261612409051e-15    8.7135416229691586e-17
            758.5000              70.2000    6.6130190505569887e-16    5.9689993271486506e-17
           1013.5000              93.6000    6.1716284638320561e-16    5.4569086900719697e-17
           1266.5000             164.8000    5.4600896381757546e-16    3.1682248968233161e-17
           1882.0000             235.4500    4.5962090278982680e-16    3.4289446182192592e-17
           3485.5000             804.4000    3.1856625427123294e-16    2.6993753447820748e-17
           4524.0000              90.0000    1.9408848312664469e-16    6.2566734774742092e-18
           5702.5000              90.0000    1.3182560202889625e-16    5.0994663954053277e-18
           6794.0000              90.0000    8.0612011873182292e-17    3.9350595610493065e-18
