Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
     116553.6 -9. -9.   1.d-3        -9.       uvw2	19.25 0.10  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     122342.4 -9. -9.   1.d-3        -9.       uvw2	19.14 0.10  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     128217.6 -9. -9.   1.d-3        -9.       uvw2	19.41 0.11  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     151113.6 -9. -9.   1.d-3        -9.       uvw2	19.51 0.15  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     156902.4 -9. -9.   1.d-3        -9.       uvw2	19.44 0.15  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     162691.2 -9. -9.   1.d-3        -9.       uvw2	19.92 0.18  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     168480.0 -9. -9.   1.d-3        -9.       uvw2	19.59 0.16  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     174268.8 -9. -9.   1.d-3        -9.       uvw2	20.33 0.21  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     180144.0 -9. -9.   1.d-3        -9.       uvw2	19.77 0.17  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     185673.6 -9. -9.   1.d-3        -9.       uvw2	19.90 0.18  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     194572.8 -9. -9.   1.d-3        -9.       uvw2	20.61 0.18  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     197424.0 -9. -9.    1.d-3       -9.       uvw2	19.75 0.18  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     217814.4 -9. -9.    1.d-3       -9.       uvw2	20.54 0.17  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     235267.2 -9. -9.    1.d-3       -9.       uvw2	20.42 0.17  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     253065.6 -9. -9.    1.d-3       -9.       uvw2	20.79 0.18  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
     284860.8 -9. -9.    1.d-3       -9.       uvw2	20.95 0.16  -9.  -9.  -9. UVOT         updike08 0 NNN 0. 0. 0 nnn
