Time				Mag		MagErr		Band		GCN
1782				>20.6		?		B		14116
1782				>20.7		?		R		14116
1986				>20.5		?		I		14116
3840				22.2 		0.2		g'		14117
3840				21.5 		0.1		r'		14117
3840				21.3 		0.1		i'		14117
3840				21.1 		0.1		z'		14117
3840				20.9 		0.1		J		14117
3840				20.2 		0.1		H		14117
3840				>19.7		?		K		14117
230.				>20.9		?		white_FC	14122
438.5				>19.9		?		u_FC		14122
3155.5				>21.2		?		white		14122
3555.				>18.9		?		v		14122
3261.				>20.5		?		b		14122
3030.5				>20.1		?		u		14122
4041.5				>20.0		?		w1		14122
680.				>17.6		?		m2		14122
3491.				>20.1		?		w2		14122
