z=   1.2500000e-01 0.
TotalEnergy(erg)    7.6171038682458457e+04    2.1717189103449546e+04
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    3.0828146007966460e+05    6.9064057435572511e+04
Energy2(erg)    3.4715774622526158e+04    1.6358384878534915e+04
T_min_T_max    4.2084444444444443e+03    2.7117111111111112e+05
Interval1    4.2084444444444443e+03    4.4663108275087296e+04
Interval2    4.4663108275087296e+04    2.7117111111111112e+05
