Time	Mag	MagErr	Band	GCN
152	18.4	0.5	White	5252
5753    19.54 0.30	v_swift 5255
5143    19.91 0.21	b_swift 5255
4937    18.81 0.14	u_swift 5255
4730    18.35 0.17	UVW1    5255
5959    18.06 0.23	UVM2    5255
5552    18.26 0.17	UVW2    5255
147     18.30 0.14	White   5255
25560	19.0  0.3       R       5257
1545.12 20.2  0.3       R       5258
1908	19.9  0.2       R       5258
2262.24 19.9  0.2       R       5258
2616.48 19.9  0.2       R       5258
6158.88 19.1  0.1       R       5258
10262.9 19.2  0.1       R       5258
13891.7 19.1  0.1       R       5258
17002.1 19.0  0.1       R       5258
20967.8	18.8  0.1       R       5258
55800   18.9  0.1       I       5259
55800   18.2  0.1       J       5259
820800  22.8  0.3       U       5281
148757 21.38 0.03 V arXiv1503.07761
245137 22.88 0.07 V arXiv1503.07761
334051 23.64 0.09 V arXiv1503.07761
676601 24.85 0.25 V arXiv1503.07761
2.05641e6 >24.8 ? V arXiv1503.07761
2.83305e6 22.96 0.04 V arXiv1503.07761
9.38106e6 22.87 0.04 V arXiv1503.07761
149232 21.03 0.02 R arXiv1503.07761
161666 21.28 0.03 R arXiv1503.07761
245668 22.44 0.05 R arXiv1503.07761
334761 23.14 0.04 R arXiv1503.07761
418671 23.54 0.06 R arXiv1503.07761
582678 24.28 0.09 R arXiv1503.07761
934665 25.54 0.26 R arXiv1503.07761
1.27731e6 26.35 0.32 R arXiv1503.07761
1.70091e6 >26.3 ? R arXiv1503.07761
2.05687e6 >24.6 ? R arXiv1503.07761
2.8339e6 >25.4 ? R arXiv1503.07761
3.86597e6 >26.3 ? R arXiv1503.07761
5.5922e6 22.42 0.03 R arXiv1503.07761
149856 20.73 0.04 I arXiv1503.07761
246270 21.97 0.17 I arXiv1503.07761
333966 22.48 0.10 I arXiv1503.07761
677601 23.99 0.20 I arXiv1503.07761
2.05731e6 >23.9 ? I arXiv1503.07761
2.83468e6 21.99 0.04 I arXiv1503.07761
9.38221e6 21.94 0.04 I arXiv1503.07761
#1.21003e6 26.25 0.16 F606W arXiv1503.07761
#2.74645e6 >27.9 ? F606W arXiv1503.07761
#7.39718e6 22.66 0.02 F606W arXiv1503.07761
#1.17556e6 24.77 0.08 F814W arXiv1503.07761
#2.68871e6 >27.3 ? F814W arXiv1503.07761
#3.88665e6 >27.4 ? F814W arXiv1503.07761
#1.20502e7 21.95 0.02 F814W arXiv1503.07761
