Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   9.5700999999999993e+01    8.1099999999999994e+00    3.7047132801246646e-04    1.0976729194078443e-04
   1.1381100000000001e+02    1.0000000000000000e+01    4.2670399249649044e-04    9.7845039962196335e-05
   1.3381100000000001e+02    1.0000000000000000e+01    2.1743509183816908e-04    8.5419755497169494e-05
   1.5881100000000001e+02    1.5000000000000000e+01    2.3140360356159210e-04    6.8957221440982817e-05
   1.8881100000000001e+02    1.5000000000000000e+01    1.5893865381517408e-04    6.4167078670120234e-05
   2.2381100000000001e+02    2.0000000000000000e+01    2.2229782410707473e-04    6.0075323280429841e-05
   2.6558949999999999e+02    2.1778500000000001e+01    9.9396672320365892e-05    4.9475218966197967e-05
   3.9363999999999999e+02    9.9500000000000000e+01    1.2721984487028121e-04    7.2569122043609623e-05
   5.3263999999999999e+02    3.3500000000000000e+01    5.8846650513553620e-05    2.8399558634376524e-05
   6.8763999999999999e+02    4.5500000000000000e+01    5.1654177407455450e-05    2.8215665239334108e-05
   8.9697550000000001e+02    8.6835499999999996e+01    5.2252977091312408e-05    2.5280680808458323e-05
   1.0100190000000000e+03    2.6207999999999998e+01    4.8070803204059604e-05    4.2526748453521727e-05
   1.1546400000000001e+03    1.1150000000000000e+02    4.6244604253292083e-05    3.0691603872585293e-05
   1.4366400000000001e+03    1.4150000000000000e+02    2.6355845889472960e-05    1.8429760393152235e-05
   1.6171400000000001e+03    3.4000000000000000e+01    6.2583354112815860e-05    2.7907478247642520e-05
   1.0997639999999999e+04    9.9500000000000000e+01    1.0009709730148314e-05    1.7523359527587888e-05
   1.7844139999999999e+04    4.5400000000000000e+02    4.6499049546432488e-06    6.7181453088855735e-06
   8.1887639999999999e+04    6.2305000000000000e+03    2.4221689177007674e-06    3.8072554973602289e-06
   1.2217714000000000e+05    6.3810000000000000e+03    5.6652410072708123e-06    3.2776068616390224e-06
