t	mag	dmag	band
35190.7	20.555588	0.169726	r
35279.6	20.334758	0.138912	r
35373.6	20.011356	0.117199	r
35465.7	20.389866	0.158646	r
35739.0	20.178221	0.114414	r
35841.2	20.056198	0.11555	r
36121.5	20.143097	0.108579	r
36215.8	20.279696	0.14499	r
36575.0	20.319944	0.142868	r
36674.3	20.120633	0.129654	r
36971.2	20.333932	0.128836	r
37059.7	20.445713	0.146166	r
37155.0	20.084412	0.11698	r
37354.1	20.043136	0.107331	r
37718.6	20.210401	0.136303	r
37918.4	20.274449	0.126746	r
36904.2	20.333288	0.026923	r
35092.4	19.941584	0.123393	i
35373.6	19.562798	0.087067	i
35465.7	19.650075	0.089739	i
35841.2	19.78908	0.09658	i
35932.2	19.551803	0.075578	i
36215.8	19.628889	0.082524	i
36381.8	19.689605	0.087483	i
36674.3	19.63517	0.087265	i
36802.6	19.907523	0.109108	i
37155.0	19.588668	0.079407	i
37247.2	19.61163	0.079795	i
37627.4	19.824935	0.098373	i
37718.6	19.715977	0.086996	i
38012.6	20.024623	0.12402	i
38105.9	19.675045	0.087221	i
38393.3	19.716124	0.099361	i
38527.2	19.555547	0.08745	i
36904.2	20.571815	0.033362	i
37620.95	18.749288	0.164686	Z
37712.149999999994	18.648471	0.132074	Z
38099.55	19.040214	0.187568	Z
36897.75	19.049213	0.061697	Z
36964.75	18.470002	0.170581	Y
37053.350000000006	18.436352	0.158874	Y
37347.7	18.969334	0.252486	Y
37517.95	18.242123	0.124594	Y
38709.55	18.408452	0.146077	Y
36897.75	18.297832	0.057118	Y
36897.75	19.319594	0.106517	J
36897.75	19.121698	0.08064	H
