Time_aftertrigger(hr)		Mag		MagErr		Band		GCN
24120				17.89		0.01		r		16226
60120				18.70		0.05		R		16228
62880     			18.7   		0.3     	C		16228
63900     			18.7    	0.3    	 	R		16228
63900     			>19.0   	0.3     	V		16228	
65820     			18.9    	0.3     	R		16228
65820     			19.9    	0.4     	V		16228
81000				19.3		?		CR		16235
103770  			19.65 		0.02	  	r		16236
103770  			19.52 		0.02	  	i		16236
103770  			19.36 		0.03	  	Z		16236
103770  			19.20 		0.03	  	Y		16236
103770   			19.18 		0.03	  	J		16236
103770   			18.98 		0.03	  	H		16236
69378.5				19.38		0.1		v		16243
71029.5				19.59		0.06		b		16243
70212.5				18.81		0.05		u		16243
195840  			20.63 		0.03	 	r		16246    
195840   			20.47 		0.03 	 	i		16246   
195840  			20.29 	 	0.05	 	Z		16246    
195840   			20.24 		0.07 	 	Y		16246   
195840  			20.17 		0.06	 	J		16246    
195840  			19.92		0.08 	 	H		16246   
279000  			21.25		0.05	 	r		16246
279000 				21.08 		0.05	 	i		16246
279000 				21.04  		0.08		Z		16246
279000  			20.76  		0.10		Y		16246
279000  			20.79  		0.11	 	J		16246
279000  			20.58  		0.13		H		16246
136980             		20.16		0.22         	g'		16259
136980             		19.74		0.24    	Rc		16259
136980             		18.85		0.17		Ic		16259
394091     	      		>22.9 		?		R		16260
