# T_start(s)   Mag	err	Filter        
     107      14.14	0.05	white    
    3952      17.96	0.07	white         
    4362      17.50	0.11	v             
    3503      17.71	0.08	b             
     320      14.66	0.04	u             
    4772      19.28	0.29	uvw1          
    4567      19.6	0	uvm2          
    4158      19.9	0	uvw2          
