63.3047	3.7125	6.546341702369606e-11	7.67594375114766e-12	-2.904462871152195e-12	0.3463	0.683
74.4541	7.4287	5.6766131693994075e-11	6.454330887394941e-12	-1.922882322775916e-12	0.3463	0.683
89.3196	7.4287	4.758908657334587e-11	5.4253719427196206e-12	-1.659954360492671e-12	0.3463	0.683
104.1852	7.4287	4.130755993682449e-11	4.724234339009618e-12	-1.4890976972727115e-12	0.3463	0.683
122.6609	11.0386	3.4763955744305904e-11	3.9371948132757295e-12	-1.1245304579471364e-12	0.3463	0.683
152.9782	14.8616	2.915717750362895e-11	4.114741016697233e-12	-2.6298542216743544e-12	0.3463	0.683
186.4262	18.5781	2.343315690556797e-11	3.3865887996452968e-12	-2.236122159656348e-12	0.3463	0.683
227.3071	22.2945	2.049817860202442e-11	3.005352750336504e-12	-2.020478238493895e-12	0.3463	0.683
275.6208	26.011	1.3248047673499642e-11	2.2427463770421815e-12	-1.7211436935875598e-12	0.3463	0.683
323.6806	22.0406	1.1258634062921781e-11	2.20988174264877e-12	-1.841286867861885e-12	0.3463	0.683
3402.1414	302.1985	3.182995728299803e-12	3.8110298431382415e-13	-1.6089529672851978e-13	0.3463	0.683
4086.0547	378.2645	2.7704567437658088e-12	3.203286930350565e-13	-1.1041401829592127e-13	0.3463	0.683
4629.1697	161.4578	2.5853318840400228e-12	3.6320562152252687e-13	-2.306061121011232e-13	0.3463	0.683
8181.0579	784.2364	1.8408247694248158e-12	2.0846917760198618e-13	-5.949851249429084e-14	0.3463	0.683
9123.0397	155.3772	1.5160881169791973e-12	4.3178175539258984e-13	-3.991967994249642e-13	0.3463	0.683
12668.1942	928.9435	1.252499668448205e-12	1.577714145193934e-13	-8.007095346032482e-14	0.3463	0.683
16946.2678	949.349	1.3339390744135923e-12	1.5657806345088997e-13	-5.962214197143331e-14	0.3463	0.683
21243.6816	949.3982	1.3624476447444795e-12	1.6413482451509062e-13	-7.122366759084136e-14	0.3463	0.683
27302.1873	2707.8268	1.085244953673837e-12	1.290627628233465e-13	-5.2752395476249535e-14	0.3463	0.683
32548.6683	2536.294	8.825170467319866e-13	1.0787948094950565e-13	-4.9628815687566234e-14	0.3463	0.683
40578.9759	3100.8504	7.175937516376254e-13	8.71072852323901e-14	-3.9006358107493123e-14	0.3463	0.683
51014.3779	4941.7005	5.464891036543177e-13	6.638592034335212e-14	-2.981419196468953e-14	0.3463	0.683
64092.4235	5128.0054	3.625954580365125e-13	4.7511896779447034e-14	-2.6618660304182016e-14	0.3463	0.683
79254.4563	7399.0019	2.9334480561014196e-13	3.812854043251068e-14	-2.0977914199335198e-14	0.3463	0.683
97948.1079	8895.6883	2.30579136197598e-13	3.1117587784031e-14	-1.8492743966052482e-14	0.3463	0.683
141468.3325	13751.4606	8.816001079484838e-14	1.687148006736925e-14	-1.3895602423099803e-14	0.3463	0.683
175989.9028	17557.1173	9.649227464971923e-14	1.8300271499240945e-14	-1.5007191100604584e-14	0.3463	0.683
219002.6493	21886.0744	4.8778518272906604e-14	1.488197694034023e-14	-1.3908400856252127e-14	0.3463	0.683
266706.2562	25813.2577	3.297417107790529e-14	1.2759771722875503e-14	-1.2247580363610397e-14	0.3463	0.683
328742.029	32821.2239	1.8210029239017578e-14	1.0269219615387239e-14	-1.0077223763194044e-14	0.3463	0.683
405552.5105	40330.7992	3.223200711688327e-14	1.0890668222656563e-14	-1.0313487919849361e-14	0.3463	0.683
498188.0609	48148.1109	1.252135554234703e-14	8.870015789987436e-15	-8.765283961493885e-15	0.3463	0.683
610326.5607	60617.8295	1.1362227580867475e-15	1.0266396218130383e-14	-1.0265655892885656e-14	0.3463	0.683
712990.9964	39555.107	1.2010105315500876e-14	1.0723167216673325e-14	-1.0643640317590152e-14	0.3463	0.683
919596.2121	86444.4333	3.644965939100655e-15	7.049956417868176e-15	-7.0388479101519385e-15	0.3463	0.683
1134362.9444	112248.3519	1.0093348821220553e-14	5.58820841578836e-15	-5.479776170752943e-15	0.3463	0.683
1387737.6293	138127.7126	-4.234076123547574e-15	4.379771405900964e-15	-4.3555947059971535e-15	0.3463	0.683
1696815.811	168468.8825	4.489762930741045e-15	4.414266691323613e-15	-4.387287158753078e-15	0.3463	0.683
2073158.2708	204545.3693	8.599224896183388e-16	3.67112530742948e-15	-3.669938609610725e-15	0.3463	0.683
2562075.731	256086.9781	-1.8422183228266567e-15	5.0550605294976554e-15	-5.051104870101804e-15	0.3463	0.683
3039304.6051	217126.1192	2.10715072780682e-15	4.40563319251377e-15	-4.399693655011133e-15	0.3463	0.683
