#time	mag	mag_err	band
109.25079	16.2414	0.04876	R
132.84654	16.3633	0.04876	R
155.34269	16.41206	0.04876	R
178.13071	16.53396	0.04876	R
200.30612	16.63148	0.04876	R
225.24213	16.75338	0.04876	R
248.37762	16.75338	0.04876	R
268.58561	16.8509	0.04876	R
290.43772	16.87528	0.04876	R
314.06772	16.99718	0.07314	R
339.62025	17.04594	0.04876	R
360.13993	17.04594	0.04876	R
381.89941	17.19222	0.04876	R
404.97358	17.24098	0.04876	R
429.44189	17.36288	0.04876	R
455.38855	17.43602	0.04876	R
473.55153	17.36288	0.04876	R
502.16328	17.55793	0.07314	R
522.19185	17.655450000000002	0.07314	R
575.82821	17.67983	0.07314	R
647.51279	17.87487	0.07314	R
728.12135	18.04553	0.07314	R
802.90952	18.14305	0.09752	R
885.37948	18.21619	0.09752	R
957.4139	18.45999	0.07314	R
1035.30904	18.45999	0.07314	R
1119.54172	18.53313	0.1219	R
1210.62756	18.60627	0.1219	R
1283.77308	18.75255	0.09752	R
1361.33801	18.80131	0.1219	R
1443.58938	18.87445	0.1219	R
1501.16634	18.80131	0.09752	R
1898.18984	19.16702	0.1219	R
2545.23672	19.48396	0.1219	R
3156.06863	19.557100000000002	0.1219	R
3837.70978	19.50834	0.1219	R
4400.68327	19.63024	0.1219	R
5046.24224	19.65462	0.14628	R
5900.76945	19.75214	0.14628	R
7036.2582	19.94718	0.17066	R
8227.77336	20.1666	0.19504	R
9434.74796	20.11784	0.17066	R
10609.27525	20.19098	0.19504	R
27122.45699	20.48355	0.09752	R
27658.05259	20.45917	0.14628	R
37818.36091	21.23933	0.09752	R
39326.73033	21.04429	0.07314	R
45095.7717	21.23933	0.09752	R
46894.39758	21.50751	0.07314	R
48764.7609	21.53189	0.04876	R
50709.72288	21.67817	0.04876	R
52732.25884	21.84883	0.07314	R
55918.31577	22.06826	0.07314	R
140186.0585	23.87239	0.34132	R
219803.1502	24.57941	0.41446	R
