Time	Mag	MagErr	Band		GCN
186	17.65	0.14	White_swift	22558
22752	19.4	0.2	r		22562
48852	20.29	0.09	r		22564
48852	20.32	0.10	i		22564
188.	17.69	0.04	white_swift	22565
3721.	17.64	0.03	white_swift	22565
3234.	17.25	0.07	v_swift		22565
3606.5	17.94	0.05	b_swift		22565
3376.5	17.	0.04	u_swift		22565
27629.	18.74	0.07	u_swift		22565
3463.5	18.72	0.14	w1_swift	22565
3349.5	>19.8	?	m2_swift	22565
3797.	>20.2	?	w2_swift	22565
68256.	20.14	0.21	R		22571


time_sec	mag	mag_err	band	source
48853.25	20.418693440334707	0.15214	r	nissim
48996.45	20.248985572730124	0.132155	i	nissim
