Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   8.1331000000000003e+01    3.6890000000000001e+00    1.2311026048107146e-02    1.1843549680709839e-03
   9.0021000000000001e+01    5.0000000000000000e+00    1.3590791633605957e-02    9.3729597473144529e-04
   1.0502100000000000e+02    1.0000000000000000e+01    1.1926709228467941e-02    5.9329561700534816e-04
   1.2502100000000000e+02    1.0000000000000000e+01    9.0768200652980805e-03    4.7012270032596585e-04
   1.5002099999999999e+02    1.5000000000000000e+01    7.7239301117706305e-03    3.4028428482627861e-04
   1.7781049999999999e+02    1.2789500000000000e+01    6.6518723706722252e-03    3.7316605393981932e-04
   2.1409999999999999e+02    1.8500000000000000e+01    4.4089332911396023e-03    1.2848595853614807e-04
   2.6360000000000002e+02    2.5000000000000000e+01    3.6684440011024479e-03    1.7569995096330642e-04
   3.1960000000000002e+02    2.6000000000000000e+01    2.9534501803779607e-03    1.0532124886064528e-04
   3.8360000000000002e+02    3.3000000000000000e+01    2.1748323013687132e-03    8.9027580899906153e-05
   4.6060000000000002e+02    4.0000000000000000e+01    1.7586703415880200e-03    7.6466541338539122e-05
   5.5910000000000002e+02    5.3500000000000000e+01    1.4244402755985259e-03    6.4481378461647026e-05
   6.8560000000000002e+02    6.8000000000000000e+01    1.2713146397266386e-03    4.9444400267028807e-05
   8.4060000000000002e+02    8.2000000000000000e+01    9.0317126965141277e-04    4.1708652075576784e-05
   1.0051000000000000e+03    7.7500000000000000e+01    8.5275595301055910e-04    3.5058944654846190e-05
   1.1903634999999999e+03    1.0176349999999999e+02    7.6894437327003470e-04    4.8545563991260524e-05
   5.9831000000000004e+03    4.4950000000000000e+02    2.3511687476148604e-04    1.3579355603914259e-05
   6.7596000000000004e+03    3.1900000000000000e+02    1.9619642351074217e-04    1.0499217646951674e-05
   1.2216600000000000e+04    6.4800000000000000e+02    1.1186194468431471e-04    4.3927089015769958e-06
   1.7369099999999999e+04    1.2825000000000000e+03    9.6368289402008037e-05    7.2136896155261999e-06
   2.3155599999999999e+04    1.2830000000000000e+03    4.0932326496505728e-05    5.0100762149333956e-06
   2.8942599999999999e+04    1.2820000000000000e+03    3.3956603084564206e-05    2.1067484462041852e-06
   3.6789099999999999e+04    3.3415000000000000e+03    2.8334100736141203e-05    2.5819702403926854e-06
   4.3860599999999999e+04    3.7260000000000000e+03    1.7064160909967423e-05    1.8158810540456770e-06
   5.4982599999999999e+04    4.1770000000000000e+03    9.2343520110511774e-06    1.5525925771436691e-06
   6.9143100000000006e+04    6.7635000000000000e+03    6.4701693955707557e-06    1.2122191473197936e-06
   8.1970100000000006e+04    6.0565000000000000e+03    1.0220346624469757e-05    2.0030702669992446e-06
   1.0181760000000001e+05    9.3700000000000000e+03    8.5204534002971649e-06    1.6824004286441803e-06
   1.3891710000000001e+05    1.2770500000000000e+04    1.2558900081424711e-07    8.3652392244815816e-07
   1.7074660000000001e+05    1.5681000000000000e+04    2.2236837600517270e-06    1.0279589842872619e-06
   2.1203460000000001e+05    2.0653000000000000e+04    2.1156833219633101e-06    7.7851090501213078e-07
   2.5465610000000001e+05    1.8590500000000000e+04    1.7973796465444563e-06    8.7488174141407018e-07
   3.5826909999999998e+05    3.5383500000000000e+04    4.9948706253433222e-07    7.5292883770179742e-07
   4.2600159999999998e+05    3.2346000000000000e+04    1.5563799660415648e-06    6.0998610755538943e-07
   9.1976509999999998e+05    8.7762500000000000e+04    2.0682250722427370e-06    6.8818664644718160e-07
   1.1162196000000001e+06    9.3207000000000000e+04    1.9696740038995742e-06    9.8226071151924136e-07
   1.9912686000000001e+06    1.6231900000000000e+05    2.4156944438753127e-06    3.4043710482215879e-07
   2.6878956000000001e+06    2.6877500000000000e+05    2.2395566636238095e-07    3.5491425243186950e-07
