Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            282.8000               5.0000    4.6558588054679257e-14    8.5764088725385807e-15
            465.0000              15.0000    2.3334569708525391e-14    2.1491932965195870e-15
           1033.8000              30.0000    5.2480720311316854e-15    4.3502876774090867e-16
           1375.8000              60.0000    3.4355777739998444e-15    2.2149988491958916e-16
           1899.0000              90.0000    1.9769686427076819e-15    1.6387698709121611e-16
           2547.0000              60.0000    1.2941951803425367e-15    1.0727980316978039e-16
           3067.8000              90.0000    1.0568169661740369e-15    9.7336439785284568e-17
           3771.0000             120.0000    7.6559620983623035e-16    7.7565418554156426e-17
           4235.0000               5.0000    6.3095701541702397e-16    6.3924617653177405e-17
           4405.2000              15.0000    5.3456407928504403e-16    6.4005722631421919e-17
           4644.0000              30.0000    5.3456407928504403e-16    9.8470342509879867e-17
           4984.8000              60.0000    4.7862984073201498e-16    7.9350187490767395e-17
           5508.0000              90.0000    4.2072640642222701e-16    6.2000534564547892e-17
           6153.0000              60.0000    3.3113094560656515e-16    5.1847088233355347e-17
           6670.8000              90.0000    2.8054321409512653e-16    3.6174578906240767e-17
           7378.8000             120.0000    2.1086270157821423e-16    3.3015993337086030e-17
          10543.8000             225.0000    1.2359467588368620e-16    1.7075235511907514e-17
          14715.0000             150.0000    8.7902203257707821e-17    1.6192184244284179e-17
          18025.8000             300.0000    5.7016395449921168e-17    1.3653650643687096e-17
