GRB140903A
Filter         T_start(s)   T_stop(s)      Exp(s)         Mag

white_FC            77          227          147         >20.01
u_FC               289          539          246         >17.4
white               77        17449          944         >21.0
v                  618        29425         1322         >18.9
b                  544        17228         1376         >20.0
u                  289        23404         1138         >18.2
w1                1097        22967         1121         >18.4
m2                 643         6613          255         >18.8
w2                5562        28728         1918         >18.6
