T_OBS[MJD]	T_1/2 [s]	GROND Mag	GROND Mag err	Up Lim
54314.31040	192.34	22.743	0.280	0
54314.31572	197.16	21.795	0.165	0
54314.32119	198.24	21.349	0.126	0
54314.32674	196.16	21.411	0.151	0
54314.33438	378.43	21.909	0.179	0
54314.35632	195.75	22.042	0.238	0
54314.42578	617.73	23.018	0.476	0
54314.43617	199.15	23.456	0.106	0
54315.32495	4559.32	24.095	0.106	1
