Time         Mag	MagErr     Band			GCN
566.25       >16.6     ?     	   Unfiltered		8807
775.35       >17.3     ?           Unfiltered		8807       
1344.5       >17.3     ?    	   Unfiltered		8807      
7488	     >23.4	?		R		8812
21960        >23.3	?		g'		8812
21960	     >23.4	?		r'		8812
21960	     >22.6	?		i'		8812
21960        >22.6	?		z'		8812
21960	     >21.3	?		J		8812
21960	     >20.7	?		H		8812
21960	     >20.0	?		K		8812
154          >20.73	?	  	White		8813
26389        >21.1	?	  	R		8814
28148        >20.5	?	  	I		8814
