Time_afterburst(s)		Mag		MagErr		Band		GCN
279				16.24		?		U		16230
196.				17.		0.03		white		16241
620.				16.5		0.13		v		16241
546.				17.04		0.1		b		16241
405.				16.35		0.03		u		16241
3835.				>20.6		?		w1		16241
3720.				>21.1		?		m2		16241
3490.5				>20.9		?		w2		16241
27887				21.6 		0.2		g'		16992
27887				21.1 		0.1 		r'		16992
27887				20.9 		0.1		i'		16992
27887				20.7 		0.1		z'		16992
27887			 	20.4 		0.4		J		16992
27887			 	20.1 		0.4		H		16992
27887			 	>20.0		?		K		16992
11957867		 	>25.8		?		g'		16992
11957867		 	>25.3		?		r'		16992
11957867		 	>24.7		?		i'		16992
11957867		 	>24.3		?		z'		16992
11957867		 	>22.1		?		J		16992
11957867		 	>21.6		?		H		16992	
11957867			>20.7		?		K		16992
