Time         Mag	MagErr	Band	GCN
16926        >19.3  	? 	C  	29931
7920	     >19.1	?	Clear	29932
293.	19.75	0.19	white	29933
1522.5	20.08	0.31	white	29933
556.5	>18.26	?	v	29933
655.	>19.29	?	b	29933
1498.	19.17	0.25	b	29933
630.	>18.89	?	u	29933
606.	>18.49	?	uvw1	29933
408.5	>17.24	?	uvm2	29933
781.5	>18.60	?	uvw2	29933
3967	>15.9 	?		g’	29936
3967 	>16.2	?		Rc	29936
3967 	>15.9	?		Ic	29936
10027 	>18.3   ?		g'	29936
10027 	>18.7   ?		Rc	29936
10027 	>18.3	?		Ic	29936
33480	20.95	0.05		r		29937
59760	21.66	0.04		r(AB)		29946
59760	21.43	0.03		i(AB)		29946
38035	21.11	0.04		r'(AB)		29944
17910	20.29	0.18		R	30027
