Time	Mag	MagErr	Filter
0.841	21.19	0.25	Rc
0.944	21.13	0.18	Rc
1.866	19.7	0.03	Rc
2.026	19.8	0.03	Rc
2.856	20.1	0.03	Rc
3.966	20.63	0.05	Rc
4.976	21.09	0.07	Rc
11.891	22.1	0.18	V
11.971	21.81	0.1	Rc
12.066	21.27	0.13	Ic
12.988	22.09	0.14	Rc
13.004	22.18	0.14	V
13.038	21.96	0.13	Ic
30.085	23.66	0.1	Rc
31.06	24.5	0.25	B
31.075	23.84	0.24	V
31.087	23.54	0.2	Rc
33.024	23.34	0.22	Rc
33.036	24.08	0.25	V
33.041	23.09	0.35	Ic
36.05	24.62	0.14	B
36.061	23.42	0.14	Rc
36.088	23.3	0.35	Ic
49.961	24.5	0.22	B
49.969	24.17	0.16	V
49.989	23.88	0.16	Rc
50.006	23.05	0.14	Ic
60.042	24.08	0.2	Rc
60.057	23.1	0.15	Ic
83.94	24.54	0.25	Rc
83.952	24.6	0.24	V
83.958	23.08	0.23	Ic
85.902	24.28	0.35	Rc
85.92	24.59	0.25	V
85.95	25.32	0.25	B
87.085	23.04	0.14	Ic
