u 18.360  0.130
u 19.350  0.140
u 19.640  0.140
u 19.900  0.150
u 19.940  0.180
b 18.981  0.160
b 19.431  0.150
b 19.931  0.160
b 20.061  0.160
B 21.471  0.060
B 22.241  0.060
B 22.571  0.080
gg 16.440  0.040
gg 16.820  0.040
gg 17.090  0.050
gg 17.760  0.050
gg 18.040  0.060
gg 18.280  0.060
gg 18.460  0.060
gg 18.530  0.060
gg 18.760  0.090
v 18.327  0.200
v 17.347  0.130
v 18.307  0.120
v 18.537  0.090
v 19.007  0.110
v 19.497  0.120
v 19.287  0.110
v 20.387  0.190
v 20.547  0.220
RC 15.508  0.040
RC 14.768  0.020
RC 15.178  0.030
RC 15.538  0.020
RC 16.168  0.030
RC 16.508  0.020
RC 16.888  0.020
RC 17.438  0.040
RC 17.598  0.040
RC 17.638  0.090
RC 17.808  0.040
RC 17.968  0.040
RC 17.898  0.040
RC 18.088  0.040
RC 18.128  0.040
RC 18.148  0.040
RC 18.278  0.050
RC 19.478  0.010
RC 20.058  0.310
RC 20.378  0.050
RC 20.628  0.110
RC 21.018  0.030
RC 21.008  0.100
RC 21.298  0.040
RC 21.338  0.110
RC 21.458  0.130
RC 21.688  0.080
RC 21.758  0.120
RC 21.918  0.120
RC 22.138  0.100
rr 24.708  0.080
IC 14.996  0.020
IC 14.506  0.010
IC 14.866  0.010
IC 15.326  0.020
IC 15.826  0.020
IC 16.156  0.020
IC 16.626  0.030
IC 17.106  0.050
IC 17.306  0.040
IC 17.396  0.080
IC 17.316  0.050
IC 17.426  0.030
IC 17.566  0.040
IC 17.766  0.040
IC 17.796  0.050
IC 17.806  0.040
IC 18.416  0.110
IC 19.826  0.070
IC 20.056  0.120
IC 20.456  0.050
IC 20.566  0.120
IC 20.866  0.090
IC 20.676  0.110
IC 21.106  0.150
IC 21.336  0.100
IC 21.256  0.140
IC 21.386  0.130
ii 24.406  0.090
IC 24.356  0.090
zz 13.990  0.110
zz 14.330  0.140
zz 14.680  0.210
zz 15.080  0.130
zz 15.550  0.140
zz 16.020  0.200
zz 24.150  0.090
