time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
71353.0	7.787295893706771e-14	2.163057087616428e-15	r	-13.132755751000447	4.853412237521525	20.93	0.03	manual
71353.0	4.7683515461935366e-14	2.9736116043631565e-15	z	-13.334976104200049	4.853412237521525	21.07	0.05	manual
99373.0	5.589676536943635e-14	1.0418346563030777e-15	r	-13.276755751000447	4.997268401058696	21.29	0.02	manual
99373.0	6.573334513087798e-14	1.8627867331770882e-15	i	-13.200154678665143	4.997268401058696	20.9	0.02	manual
99373.0	2.87994838258597e-14	5.158846219400914e-15	Z	-13.55395966647146	4.997268401058696	21.12	0.19	manual
99373.0	2.4333779257747837e-14	6.645759359193313e-15	Y	-13.624968855503402	4.997268401058696	21.04	0.29	manual
99373.0	2.6243754706678026e-14	5.917347813564224e-15	J	-13.588465050423848	4.997268401058696	20.52	0.23	manual
675733.0	6.845208435792921e-14	3.1583299998162098e-15	r	-13.18875575100045	5.829775128585988	21.07	0.05	manual
71711.0	7.368628761176605e-14	2.7227656438132198e-15	r	-13.156755751000448	4.8555857787205685	20.99	0.04	manual
71711.0	1.2893424046341388e-13	2.0903323907877725e-14	z	-12.902976104200045	4.8555857787205685	19.99	0.17	manual
48931.0	1.1459568132623198e-13	1.0554652301731116e-14	R	-12.963748565630324	4.689584091501692	20.3	0.1	manual
94657.0	5.589676536943635e-14	1.0418346563030777e-15	r	-13.276755751000447	4.976152736091284	21.29	0.02	manual
94657.0	6.573334513087798e-14	1.8627867331770882e-15	i	-13.200154678665143	4.976152736091284	20.9	0.02	manual
94657.0	2.87994838258597e-14	5.158846219400914e-15	Z	-13.55395966647146	4.976152736091284	21.12	0.19	manual
94657.0	2.4333779257747837e-14	6.645759359193313e-15	Y	-13.624968855503402	4.976152736091284	21.04	0.29	manual
94657.0	2.6243754706678026e-14	5.917347813564224e-15	J	-13.588465050423848	4.976152736091284	20.52	0.23	manual
-4657.0	5.963578688919219e-14	2.6109711325686815e-15	g	-13.259391268787423	21.5	0.03		manual
-4657.0	6.017092347462705e-14	1.671352216054867e-15	r	-13.244755751000447	21.21	0.03		manual
-4657.0	6.883126224542485e-14	2.411280488639314e-15	i	-13.180154678665144	20.85	0.03		manual
-4657.0	6.956139233593162e-14	3.500023775358885e-15	z	-13.170976104200044	20.66	0.03		manual
-4657.0	3.523919426882416e-14	3.5451816396277202e-15	J	-13.460465050423847	20.2	0.07		manual
-4657.0	2.3277469097578495e-14	3.0081073548532513e-15	H	-13.637808201900606	19.88	0.07		manual
-4657.0	1.3277184370274513e-14	2.4464896090189025e-15	K	-13.880084829396171	19.69	0.12		manual
240.0	5.006568652633318e-13	9.876087514688989e-14	u	-12.35214384928665	2.380211241711606	19.53	0.2	manual
4182.0	1.8442121345954498e-19	4.680402267146334e-20	w1	-18.803463946149478	3.621384028481653	18.9	0.25	manual
