GRB151215A
Filter                     T_start(s)   T_stop(s) Exp(s)           Mag

white (Finding Chart)         174          323          147 19.05 ± 0.14
white                         531         2586          362 20.59 ± 0.19
v                             408         2636          253 19.67 ± 0.35
b                             507         2561          233 20.85 ± 0.42
u                             482         2536          233 >20.3
w1                            458         2512          233 >19.9
m2                            433         2651          225 >19.6
w2                            384         2612          253 >19.9
