#		Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)		beta	z
             40.3000               5.0000    8.9290827062157786e-04    3.7830350918592797e-05	0.755	3.2425
             65.3000               5.0000    7.3655781942436396e-04    3.3919742079173513e-05	0.755	3.2425
             90.3000               5.0000    6.1831081555239456e-04    3.1891178092786303e-05	0.755	3.2425
            115.3000               5.0000    5.6598750383272012e-04    2.8671157386597770e-05	0.755	3.2425
            140.3000               5.0000    6.5706274497839292e-04    3.0258858506069400e-05	0.755	3.2425
            165.3000               5.0000    5.3951912268940510e-04    2.9318013911244985e-05	0.755	3.2425
            190.5000               5.0000    4.1305400805075125e-04    3.0434944925409918e-05	0.755	3.2425
            215.3000               5.0000    4.6946891493637884e-04    3.3294558413304105e-05	0.755	3.2425
            240.3000               5.0000    4.4300317735579300e-04    3.9170017601035530e-05	0.755	3.2425
            265.5000               5.0000    4.7556166793963773e-04    3.8106739114435973e-05	0.755	3.2425
            300.3000              15.0000    4.2580116061788088e-04    2.1961932904648116e-05	0.755	3.2425
            345.3000              15.0000    3.6008650020049444e-04    2.2552331414596155e-05	0.755	3.2425
            390.3000              15.0000    4.0738669451433730e-04    1.9886502205795005e-05	0.755	3.2425
            435.5000              15.0000    3.4229995296312016e-04    1.7970385251110058e-05	0.755	3.2425
            480.2000              15.0000    4.2150898908426790e-04    1.8246534444054097e-05	0.755	3.2425
            525.2000              15.0000    2.9404028734011581e-04    1.7603372848359372e-05	0.755	3.2425
            570.2000              15.0000    2.5003847268380465e-04    1.6581164441786925e-05	0.755	3.2425
            615.2000              15.0000    2.6497618180498621e-04    1.8059854624095767e-05	0.755	3.2425
            660.2000              15.0000    2.5704362518343533e-04    1.7519199164398440e-05	0.755	3.2425
            705.2000              15.0000    1.9934568340223289e-04    1.6707979002938688e-05	0.755	3.2425
            750.4000              15.0000    2.0511944660276871e-04    1.6814057773135436e-05	0.755	3.2425
            795.2000              15.0000    1.9989725756613903e-04    1.6017759961113898e-05	0.755	3.2425
            840.2000              15.0000    1.9971323014600402e-04    1.7106669978278444e-05	0.755	3.2425
            885.2000              15.0000    2.0663640437730012e-04    1.6177129214933913e-05	0.755	3.2425
            930.2000              15.0000    1.7218956743101656e-04    1.6493615530064096e-05	0.755	3.2425
            975.4000              15.0000    2.1399658183307913e-04    1.6753342017831774e-05	0.755	3.2425
           1020.2000              15.0000    1.5261837820771906e-04    1.6868007009339793e-05	0.755	3.2425
           1065.2000              15.0000    2.0835639577779084e-04    1.7079397073425799e-05	0.755	3.2425
           1110.2000              15.0000    1.8776162514079909e-04    1.6255876145589106e-05	0.755	3.2425
