#Tstart   mag	err	Filter   
  120    19.88	0.14	white     
  57     18.48	0.23	white     
  3996   20.17	0.16	white     
  609    18.7	0	v         
  535    18.64	0.32	b         
  279    18.28	0.09	u         
  683    17.48	0.25	u         
  6062   20.62	0	u         
#  658    17.8	0	w1        
#  585    18.3	0	w2        
