#T(hrs) Magnitude Error 
0.0360 14.671 0.011
0.1533 17.066 0.047
0.0489 15.136 0.011 
0.1644 17.154 0.049
0.0614 15.540 0.011 
0.1703 17.234 0.042
0.0747 15.939 0.016 
0.1758 17.248 0.038
0.0805 16.038 0.018 
0.1933 17.348 0.022
0.0861 16.117 0.019 
0.2158 17.562 0.024
0.0969 16.350 0.031 
0.2542 17.760 0.021
0.1030 16.449 0.024 
0.3311 18.081 0.016
0.1086 16.555 0.050 
0.4500 18.462 0.026
0.1194 16.713 0.034 
0.6017 18.828 0.178
0.1253 16.787 0.028 
2.2103 20.187 0.322
0.1311 16.925 0.043 
2.3647 20.204 0.195
0.1419 16.946 0.033 
2.4100 20.087 0.246
0.1478 16.991 0.033 
2.4880 20.178 0.168
