Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             69.1000               2.5000    1.7538794935040037e-17    2.4230741357454148e-18
             97.9000               5.0000    2.8313903881875391e-17    2.6078069951882306e-18
            158.0000               5.0000    7.5857715546276828e-17    2.0960262004055029e-18
            224.9000              10.0000    7.2443555889504421e-17    2.0016894801203158e-18
            313.8000              10.0000    5.5975728936009203e-17    1.0311110618237811e-18
            430.0000              20.0000    3.6982797127064128e-17    6.8124831850772670e-19
            622.1000              40.0000    2.8575889212802736e-17    2.6319367365859318e-19
            812.9000              40.0000    1.6904399588500429e-17    4.6708583542837721e-19
           1091.9000              40.0000    1.0375278112075500e-17    2.8667953685129594e-19
           1184.1000              40.0000    9.4623660865584048e-18    4.3575807445180276e-19
           1464.2000              40.0000    8.7902200241678531e-18    3.2384368279137141e-19
           1556.0000              40.0000    9.3756145915452630e-18    3.4541041628203945e-19
           1837.8000              40.0000    9.7274665598263469e-18    3.5837312220888299e-19
           1928.9000              40.0000    8.9536424181758586e-18    3.2986438645756262e-19
           2024.0000              40.0000    9.2044903372711530e-18    3.3910596558948686e-19
           2074.2000              20.0000    8.8715549298580554e-18    5.7197030019456507e-19
           2558.9000              40.0000    4.7862980788729571e-18    2.6450061418335541e-19
           2648.9000              40.0000    4.7862980788729571e-18    3.0858404988058128e-19
           2740.0000              40.0000    4.7424170336753308e-18    2.1839638161721393e-19
           2790.9000              20.0000    4.3251357335219938e-18    2.7885181385270381e-19
           3512.1000             140.0000    3.0760949664451391e-18    4.8164200204267020e-19
           4550.5000             120.0000    3.4040798567813069e-18    2.5082188029538945e-19
           4825.6000             120.0000    3.4040798567813069e-18    1.5676367518461843e-19
           6926.5000             120.0000    1.6443707198356697e-18    2.5746864587775191e-19
           9335.1000             320.0000    1.2705733250342447e-18    7.0214478768042057e-20
          11836.5000             400.0000    9.9999938239874125e-19    7.3682679590437822e-20
