Time	Mag MagErr	Band
258681.6	23.20    0.05	g
1.4700095999999999e6	22.26    0.09	i
1.592784e6	24.49    0.03	g
1.4734655999999999e6	22.32    0.06	i
1.7300736e6	24.48    0.09	g
1.5574464e6	22.30    0.06	i
1.97096e6	24.62    0.25	g
1.6391808e6	22.24    0.05	i
4.0614048e6	25.02    0.19	g
1.6425504e6	22.36    0.06	i
4.7940768e6	25.43    0.09	g
1.7330112e6	22.41    0.04	i
6.737558399999999e6	25.27    0.09	g
1.7565984e6	22.33    0.12	i
7.3764864e6	25.49    0.12	g
1.8400608e6	22.58    0.24	i
109036.8	21.49    0.08	r
1.9231776e6	22.42    0.12	i
194400.	22.20    0.10	r
2.0097504e6	22.29    0.18	i
260063.99999999997	22.60    0.04	r
2.0948544e6	22.43    0.10	i
1.5926976e6	22.71    0.03	r
2.1821184e6	22.32    0.16	i
1.6689024e6	22.64    0.09	r
2.2491648e6	22.55    0.08	i
1.7316288e6	22.82    0.05	r
2.3264928e6	22.44    0.11	i
1.919808e6	22.74    0.19	r
2.5108704e6	22.57    0.06	i
2.0086272000000002e6	23.12    0.19	r
2.6804736e6	22.68    0.05	i
2.0918304e6	23.16    0.12	r
2.6942976e6	22.65    0.16	i
2.1796128e6	23.23    0.17	r
2.780352e6	22.52    0.21	i
2.6820288000000003e6	23.45    0.07	r
2.9534975999999996e6	22.53    0.15	i
4.062096e6	24.08    0.13	r
3.4566048e6	22.99    0.16	i
86400.*"47.745    1.496"	24.24    0.27	r
3.9010464000000004e6	23.26    0.29	i
4.7940768e6	24.05    0.08	r
3.975696e6	23.10    0.10	i
86400.*"65.657    5.428"	24.23    0.35	r
4.06296e6	23.34    0.08	i
6.738336e6	24.05    0.07	r
4.0874975999999996e6	23.28    0.23	i
7.377350399999999e6	24.28    0.08	r
4.24872e6	23.37    0.19	i
1.04340096e7	24.22    0.11	r
5.0026464e6	23.72    0.10	i
104803.20000000001	21.30    0.11	i
5.197305600000001e6	23.74    0.36	i
200188.80000000002	22.04    0.12	i
6.7392e6	23.70    0.07	i
261878.40000000002	22.41    0.06	i
7.3762272e6	23.94    0.09	i
437097.60000000003	22.79    0.10	i
7.512307199999999e6	23.87    0.40	i
695088.	22.87    0.53	i
9.8361216e6	24.23    0.20	i
782611.2	22.66    0.11	i
1.04324544e7	24.05    0.08	i
862617.6	22.52    0.12	i
264470.4	22.32    0.10	z
868579.2000000001	22.57    0.11	i
1.8147456e6	22.63    0.10	z
954288.	22.50    0.08	i
4.0650336e6	22.90    0.12	z
1.0395648e6	22.45    0.08	i
6.7403232e6	23.68    0.10	z
1.1277792000000002e6	22.41    0.07	i
208051.19999999998	19.56    0.12	K
1.3001472e6	22.36    0.06	i
815616.	21.01    0.15	K
