time_sec	mag	mag_err	band	source
66139.95	22.904345909560025	0.097257	r	nissim
66140.0	22.52812068027699	0.073109	i	nissim
66133.55	22.48447967561239	0.203279	Z	nissim
66023.20000000001	22.345576523988843	0.21832	Y	nissim
66133.55	21.945670212200465	0.215155	J	nissim
66133.55	22.012696117458404	0.325136	H	nissim


time_sec	mag	mag_err	band	source
16861.0	21.9902839749828	0.18	R	manual
151533.0	23.659390909560024	0.26	r	manual
33165.0	22.579390909560026	0.06	r	manual
276.0	19.472795652352275	0.16	u	manual
65997.0	23.00939090956002	0.1	r	manual
