# T_start(s)        Mag		err	Filter        
	152          20.50	0.29	white         
     590          21.03		0	white         
     640          18.88		0	v             
     566          19.77		0	b             
310          	20.07		0	u             
     713          19.17		0	u             
     689          18.91		0	uvw1          
     664          18.88		0	uvm2          
     615          19.14		0	uvw2          
