#tiempo exp m em
174     60     17.7          999.0
221     80     18.0          999.0
277     100     18.3          999.0
343     120     18.3          999.0
424     160     18.4          999.0
311     520    19.0          999.0
842     1380     18.9          0
1736     1800     18.5          0
3280    3600     18.9         0
4515    3600     19.1         0
3744 300 18.44 0.05 
