Time  	Mag	MagErr	 Band	GCN
162.	19.41	0.13	white	15443
19591.5	21.45	0.17	white	15443
6586.	>20.0	?	v	15443
13031.5	21.64	0.23	b	15443
424.	18.93	0.13	u	15443
12375.5	>20.6	?	w1	15443
6841.	>19.8	?	w2	15443
4644    20.07 	0.12	 R	15445
16128   20.48 	0.01	 R	15445
21384   19.63 	0.02	 J	15445
