Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            387.8000               5.0000    4.6558586457198649e-15    1.7152817156543553e-16
            750.0000              15.0000    1.3304537388966570e-15    4.9015727183885808e-17
           1240.8000              30.0000    5.9703497472039590e-16    6.0487848699726181e-17
           1702.8000              60.0000    3.5318298254257784e-16    3.2529354858768920e-17
           2343.0000              90.0000    2.0892950068140963e-16    1.7318806351550310e-17
           2869.8000              60.0000    1.6292951500420015e-16    1.5006362912459417e-17
           3514.2000              90.0000    1.2589247249901807e-16    1.0435612707719302e-17
           4332.8000               5.0000    9.1201033742949735e-17    9.2399182022555438e-18
           4552.2000              15.0000    8.1658192060651595e-17    7.5209974374861467e-18
           4849.2000              30.0000    7.5162247819524079e-17    6.9226988619398613e-18
           5311.2000              60.0000    6.5463581055293059e-17    5.4264767765106620e-18
           5953.8000              90.0000    5.3951032137415954e-17    4.9690736987399371e-18
           6475.8000              60.0000    4.8305853161319363e-17    4.4491334999434958e-18
           7122.0000              90.0000    3.8725742685098106e-17    3.9234499878633654e-18
          11656.2000             150.0000    2.0323558469601370e-17    2.4334295862688452e-18
          11979.0000             150.0000    1.9230906259291435e-17    2.1254783097216626e-18
          15109.8000             150.0000    1.1694987115910949e-17    1.4002925571059633e-18
          15433.2000             150.0000    1.1694987115910949e-17    1.2925777450208889e-18
          18745.2000             300.0000    9.5499202832838998e-18    1.3193702462594428e-18
