time_sec	flux_R	flux_err_R	band	source
120.497	1.13e-12	2.08e-13	R	manual
168.9	1.0763961951592055e-12	1.2194725368503796e-13	R	Li_Liang
327	1.2055637385783104e-12	1.3026797394967747e-13	R	Li_Liang
394.4	1.3825711128933798e-12	1.718560018090743e-13	R	Li_Liang
542.592	7.080294972602775e-13	1.7241011279608414e-13	R	Li_Liang
548.497	6.458377170955234e-13	1.679374017859889e-13	R	manual
636.3	1.1338039922343633e-12	1.269806370414106e-13	R	Li_Liang
729.497	5.910055931230948e-13	1.6735994249610953e-13	R	manual
1132.497	7.387569914038686e-13	1.472600060080025e-13	R	manual
1545.3	5.40590089124401e-13	5.4757342998032944e-14	R	Li_Liang
61557.408	1.4447628930581337e-14	2.0730438525740535e-15	R	Li_Liang
61795.497	1.4058134596418192e-14	3.8890995910688246e-15	R	manual
66599.712	1.6409061997315893e-14	1.1177757614945987e-15	R	Li_Liang
66610.497	1.775224295752078e-14	2.4422780408880447e-15	R	manual
