Time	Mag	MagErr	Filter	Telescope	GalExtCorr	Source
508.0	19.7	0.18	white	Swift/UVOT	no	6378
917.0	19.9	0.22	white	Swift/UVOT	no	6378
7469.0	20.4	0.28	white	Swift/UVOT	no	6378
1170.5	19.1	0.2	V	Swift/UVOT	no	6378
7879.5	19.3	0.0	V	Swift/UVOT	no	6378
768.5	19.8	0.34	B	Swift/UVOT	no	6378
7297.0	20.4	0.0	B	Swift/UVOT	no	6378
768.5	20.1	0.0	U	Swift/UVOT	no	6378
790.0	20.4	0.0	UVW1	Swift/UVOT	no	6378
8061.5	19.6	0.0	UVM2	Swift/UVOT	no	6378
987.0	20.4	0.0	UVW2	Swift/UVOT	no	6378
