time_sec	flux	flux_err	band	source
88428	5.201205905283201e-15	6.615752641297449e-15	Ks	arXiv1309.1167
177420	4.488529118778287e-15	5.712993264383158e-15	Ks	arXiv1309.1167
418289	7.50159233699459e-15	2.36249028822387e-16	r	arXiv1309.1167
1.64E+06	2.8320704134063623e-15	3.667528021459817e-15	Ks	arXiv1309.1167
2.39E+07	1.9780015196846174e-14	1.5471360312715145e-14	u	arXiv1309.1167
1.68E+07	2.575714378905914e-15	1.0327589595828788e-15	g	arXiv1309.1167
1.68E+07	3.3663049783840277e-15	4.468264012336063e-16	r	arXiv1309.1167
1.68E+07	2.6563880965361225e-15	7.451340981879871e-16	i	arXiv1309.1167
1.68E+07	2.7146859863298198e-15	1.3346777152467563e-15	z	arXiv1309.1167
2.18E+07	2.0190193460409796e-15	1.27489770188213e-15	Y	arXiv1309.1167
1.75E+07	2.2516865122418823e-15	1.952290369726248e-15	J	arXiv1309.1167
1.75E+07	1.6063968771581497e-15	2.025385512300587e-15	H	arXiv1309.1167
1.75E+07	2.249593492095944e-15	2.8867970738071354e-15	Ks	arXiv1309.1167
