Time		Mag		MagErr		Band		GCN
24426   	21.06 		0.11		r		20681
24426   	20.89 		0.13		i		20681
24426   	20.54 		0.18		Z		20681
24426   	20.34 		0.32		Y		20681
159840  	22.78 		0.08		r		20685
159840    	22.40 		0.15		i		20685
159840  	21.54 		0.17		Z		20685
159840   	21.22 		0.17		Y		20685
51945           >21.0		?		w1		20682
140040		22.45		0.07		r		20683
63033.1		22.6		0.3		g'		20684
63033.1		21.3 		0.1		r'		20684
63033.1		20.8 		0.1		i'		20684
63033.1		20.3 		0.1		z'		20684
63033.1		19.6 		0.1		J		20684
63033.1		19.3 		0.1		H		20684
63033.1		18.8 		0.3		K		20684
107618     	>21.4      	?	    	R		20687
