Time	Mag	MagErr	Band		GCN
80	>17	?	R		9282
580	>19	?	R		9282
780.	>23.4 	?	g'		9283
780.	>23.3 	?	r'		9283
780.	>22.4 	?	i'		9283
780.	>21.8 	?	z'		9283
780.	>21.5 	?	J		9283
780.	>20.2 	?	H		9283
780.	>19.6 	?	K		9283
10437.	21.79	0.1	J		9286
10437.	20.08	0.05	H		9286
10437.	19.15	0.03	K		9286
21560	>16.4	?	Unfiltered	9291
22598.5	>17.9	?	Unfiltered	9291
95397	20.0	0.2	K		9306
174.	>21.0	?	white(fc)_swift	9309
5723.5	>22.2	?	white_swift	9309
6595.	>20.6	?	v_swift		9309
3668.	>20.8	?	b_swift		9309
3466.	>20.8	?	u_swift		9309
3553.	>20.5	?	uvw1_swift	9309
3438.	>21.4	?	uvm2_swift	9309
6189.	>20.3	?	uvw2_swift	9309
