time_sec	mag	mag_err	band	source
161.4	17.831531194125173	0.008676	r	nissim
254.10000000000002	17.502741194125175	0.006983	r	nissim
342.4	17.565760194125176	0.007234	r	nissim
434.4	17.863129194125175	0.008772	r	nissim
540.7	18.153416194125175	0.010849	r	nissim
646.4	18.389338194125173	0.012112	r	nissim
744.6	18.568166194125173	0.015056	r	nissim
866.2	18.657512194125175	0.016909	r	nissim
961.8	18.756120194125174	0.018309	r	nissim
1053.9	18.851766194125176	0.019009	r	nissim
1152.4	18.850654194125173	0.018128	r	nissim
1268.9	18.941329194125174	0.020869	r	nissim
1356.5	18.929573194125176	0.021674	r	nissim
1451.5	18.936654194125175	0.019582	r	nissim
1540.0	18.894978194125173	0.018158	r	nissim
1639.0	18.857715194125173	0.019128	r	nissim
1752.5	18.831293194125173	0.019883	r	nissim
1844.4	18.836015194125174	0.018839	r	nissim
1950.1	18.836765194125174	0.01878	r	nissim
2050.9	18.797367194125176	0.018791	r	nissim
2138.9	18.779405194125175	0.018754	r	nissim
2249.5	18.836762194125175	0.019054	r	nissim
2345.6	18.865222194125174	0.019043	r	nissim
2443.7	18.936740194125175	0.022836	r	nissim
2531.1	18.886127194125173	0.020966	r	nissim
2625.4	18.945661194125176	0.02104	r	nissim
2721.6	18.950836194125174	0.019688	r	nissim
2820.7	18.967613194125175	0.021154	r	nissim
2908.1	18.996495194125174	0.021948	r	nissim
2999.7	18.986539194125175	0.020249	r	nissim
3087.4	19.030275194125174	0.019657	r	nissim
3203.9	19.053678194125172	0.02212	r	nissim
3315.7	19.139936194125173	0.024618	r	nissim
3417.1	19.089420194125175	0.022415	r	nissim
3506.3	19.106418194125173	0.023198	r	nissim
3631.3	19.146225194125176	0.024176	r	nissim
3719.7	19.159658194125175	0.024967	r	nissim
3811.7	19.166349194125175	0.026521	r	nissim
3908.9	19.164218194125173	0.024457	r	nissim
4008.9	19.131609194125176	0.025034	r	nissim
4096.4	19.178816194125176	0.025924	r	nissim
4188.9	19.161390194125175	0.02472	r	nissim
4286.0	19.235902194125174	0.027071	r	nissim
4378.3	19.223300194125173	0.026521	r	nissim
4468.9	19.230472194125174	0.027948	r	nissim
4579.1	19.242540194125173	0.025997	r	nissim
4666.5	19.224141194125174	0.025725	r	nissim
4768.2	19.267641194125176	0.028993	r	nissim
4875.7	19.194059194125174	0.026889	r	nissim
4967.6	19.276992194125175	0.027092	r	nissim
5075.5	19.274222194125173	0.027632	r	nissim
5192.8	19.266018194125174	0.027258	r	nissim
5291.3	19.252751194125175	0.027035	r	nissim
5383.5	19.277079194125175	0.027377	r	nissim
5479.7	19.245996194125173	0.026919	r	nissim
5579.6	19.253224194125174	0.028437	r	nissim
5667.0	19.344516194125173	0.030822	r	nissim
5777.4	19.268271194125173	0.02534	r	nissim
5873.8	19.283298194125173	0.025186	r	nissim
5989.2	19.300875194125176	0.030335	r	nissim
6076.7	19.291752194125174	0.029351	r	nissim
6168.6	19.279179194125174	0.026677	r	nissim
6256.1	19.287807194125175	0.025339	r	nissim
6354.9	19.378342194125175	0.028882	r	nissim
6466.0	19.327960194125176	0.036467	r	nissim
6576.0	19.374728194125176	0.027611	r	nissim
6664.7	19.360989194125175	0.028138	r	nissim
6763.8	19.350295194125174	0.028482	r	nissim
6852.3	19.371454194125175	0.027774	r	nissim
6944.3	19.413120194125174	0.028063	r	nissim
7040.3	19.394744194125174	0.028161	r	nissim
