#Tstart(s)	mag(Vega)	err	Filter    
 100    16.36	0.05	white  
 312    15.54	0.04	u      
 100    16.57	0.01	white     
 642    16.19	0.04	v         
 568    16.77	0.03	b         
 312    15.94	0.02	u         
 692    17.28	0.08	uvw1      
 667    18.72	0.20	uvm2      
 618    19.10	0.18	uvw2      
