time_sec	flux_R	flux_err_R	band	source
1.04E+02	1.1144014324107995e-11	1.8662774167722127e-12	R	Li_Liang
1.12E+02	1.3539456655458312e-11	2.0409647757852268e-12	R	Li_Liang
1.20E+02	9.442903103294002e-12	1.819157020311798e-12	R	Li_Liang
1.28E+02	1.8862661836236794e-11	2.056490788791366e-12	R	Li_Liang
1.36E+02	2.0482767760821548e-11	2.2423145372851303e-12	R	Li_Liang
1.44E+02	2.140854257486998e-11	2.162492040925397e-12	R	Li_Liang
1.52E+02	3.552660848910856e-11	2.706930029044025e-12	R	Li_Liang
1.60E+02	2.580597294160003e-11	2.3855617262678776e-12	R	Li_Liang
1.68E+02	3.182350923291483e-11	2.4268680596203535e-12	R	Li_Liang
1.76E+02	3.656810515491304e-11	2.478995000064058e-12	R	Li_Liang
1.84E+02	2.881474108725743e-11	2.4233034147170984e-12	R	Li_Liang
1.92E+02	3.760960182071753e-11	2.5491643931126795e-12	R	Li_Liang
2.00E+02	3.529516478559645e-11	2.6836875762045128e-12	R	Li_Liang
2.08E+02	3.691527071018121e-11	2.5023847975749864e-12	R	Li_Liang
2.16E+02	4.050264811461888e-11	2.7364448662132376e-12	R	Li_Liang
2.24E+02	3.8303932931253855e-11	2.5959439893071714e-12	R	Li_Liang
2.32E+02	3.865109848652202e-11	2.61933378763972e-12	R	Li_Liang
2.40E+02	4.432146922256866e-11	2.639246491678824e-12	R	Li_Liang
2.48E+02	4.432146922256866e-11	3.3720773028441563e-12	R	Li_Liang
5.92E+02	3.7262436265449373e-11	3.145475304922179e-12	R	Li_Liang
6.00E+02	3.2402118491695104e-11	2.198317445485199e-12	R	Li_Liang
6.08E+02	3.691527071018121e-11	2.193633261116281e-12	R	Li_Liang
7.68E+02	2.5343085534575814e-11	2.1320315831192033e-12	R	Li_Liang
7.76E+02	2.7426078866184783e-11	1.859246250048044e-12	R	Li_Liang
7.84E+02	3.309644960223143e-11	2.5087932182421772e-12	R	Li_Liang
1.18E+03	2.0135602205553386e-11	1.7008712549460044e-12	R	Li_Liang
1.18E+03	2.291292664769868e-11	1.7386224530044047e-12	R	Li_Liang
1.35E+03	1.990415850204128e-11	1.6776214981567235e-12	R	Li_Liang
1.36E+03	1.7936887022188362e-11	1.514483298910117e-12	R	Li_Liang
1.52E+03	1.932554924326101e-11	1.6309920071056833e-12	R	Li_Liang
1.53E+03	1.8631218132724687e-11	1.5727376524610896e-12	R	Li_Liang
1.54E+03	1.4580953321262798e-11	1.8339064208298798e-12	R	Li_Liang
6.02E+02	3.4947999230328294e-11	1.4972580833799508e-12	R	Li_Liang
7.75E+02	2.8004688124965056e-11	1.200162755385705e-12	R	Li_Liang
9.41E+02	2.5111641831063704e-11	4.860205700892139e-13	R	Li_Liang
1.18E+03	2.1292820723113925e-11	1.088038919117963e-12	R	Li_Liang
1.35E+03	1.9209827391504953e-11	9.830697946456117e-13	R	Li_Liang
1.53E+03	1.7705443318676254e-11	1.04995376030233e-12	R	Li_Liang
1.70E+03	1.7473999615164147e-11	1.3301505130589928e-12	R	Li_Liang
1.71E+03	1.7473999615164147e-11	1.3301505130589928e-12	R	Li_Liang
1.87E+03	1.4812397024774905e-11	1.868693267353963e-12	R	Li_Liang
1.88E+03	1.7011112208139932e-11	1.2951427614571775e-12	R	Li_Liang
1.89E+03	9.188315029430683e-12	1.6919049963733483e-12	R	Li_Liang
2.04E+03	2.1987151833650247e-11	3.1433577052268722e-12	R	Li_Liang
2.05E+03	1.585389369057939e-11	1.3397202462455262e-12	R	Li_Liang
2.06E+03	1.5391006283555175e-11	1.5578940538743412e-12	R	Li_Liang
2.22E+03	1.7011112208139932e-11	1.4329792083560163e-12	R	Li_Liang
2.23E+03	1.7473999615164147e-11	1.3301505130589928e-12	R	Li_Liang
2.39E+03	1.6201059245847552e-11	1.9159126991599702e-12	R	Li_Liang
2.40E+03	1.5969615542335445e-11	1.3513451788579542e-12	R	Li_Liang
2.41E+03	1.6663946652871767e-11	1.9624153856847996e-12	R	Li_Liang
2.56E+03	1.2845125544921988e-11	3.21949666380129e-12	R	Li_Liang
2.57E+03	1.5506728135311227e-11	1.3048456573169626e-12	R	Li_Liang
2.58E+03	1.851549628096863e-11	1.561112778258088e-12	R	Li_Liang
6.37E+03	1.7705443318676254e-11	4.766265858696695e-13	R	Li_Liang
7.81E+03	1.4580953321262798e-11	3.922621639556787e-13	R	Li_Liang
1.83E+05	2.2450039240674464e-13	5.836474349035382e-14	R	Li_Liang
