date	time	exp	mag	magerr	band	source
2020-06-16	12:55:02	1500	21.07	0.21	R	manual
2020-06-19	19:27:22	3480	21.06	0.09	R	manual
2020-06-19	23:58:55	600	21.2	0.3	r	manual
2020-06-16	19:25:11	1800	20.58	0.05	R	manual
2020-06-14	17:42:31	5460	19.68	0.13	clear	manual
2020-06-15	17:29:42	4200	20.4	0.3	clear	manual
2020-06-13	18:28:33	3600	19.39	0.2	clear	manual
2020-06-13	18:42:28	3000	19.27	0.07	R	manual
2020-06-19	15:20:43	900	20.59	0.26	R	manual
2020-06-14	11:53:10	1500	19.45	0.05	R	manual
2020-06-17	16:52:11	2640	20.94	0.14	R	manual
2020-06-13	22:25:19	60	19.45	0.2	r	manual
2020-06-15	18:13:45	2940	20.47	0.11	R	manual
2020-06-15	12:57:58	1500	20.0	0.1	R	manual
2020-06-19	19:27:22	720	21.13	0.1	R	manual
2020-06-13	17:50:24	775	19.65	0.07	white	manual
2020-06-13	17:37:09	775	19.02	0.12	u	manual
