time_sec	flux	flux_err	band	logF	logT	mag	mag_err
156478.08	1.340430339003285e-14	9.981682080688075e-16	r	-13.872755751000449	5.194453508644185	22.78	0.08
156478.08	1.584328816162216e-14	2.542542246620713e-15	i	-13.800154678665145	5.194453508644185	22.4	0.15
156478.08	1.896882079090355e-14	4.048836804365977e-15	Z	-13.72195966647146	5.194453508644185	21.54	0.17
156478.08	2.009236895553702e-14	5.360588208899505e-15	Y	-13.696968855503401	5.194453508644185	21.22	0.17
63033.08	1.9980609460984828e-14	6.090949049155414e-15	g	-13.699391268787423	4.799568528676041	22.6	0.3
63033.08	5.238949944433576e-14	4.8581525222786135e-15	r	-13.280755751000449	4.799568528676041	21.3	0.1
63033.08	6.915846117291246e-14	8.512466717583283e-15	i	-13.160154678665146	4.799568528676041	20.8	0.1
63033.08	9.397750175490926e-14	1.7304062005492444e-14	z	-13.026976104200047	4.799568528676041	20.3	0.1
63033.08	6.019146996586746e-14	1.8477008504181877e-14	J	-13.220465050423849	4.799568528676041	19.6	0.1
63033.08	3.928183780456511e-14	1.7069040618193347e-14	H	-13.405808201900607	4.799568528676041	19.3	0.1
63033.08	2.9916802239011515e-14	1.865563400535176e-14	K	-13.524084829396173	4.799568528676041	18.8	0.3
68349.08	6.534979792630427e-14	6.658164241628208e-15	r	-13.184755751000448	4.834732673203587	21.06	0.11
68349.08	6.365687596971567e-14	9.225539569884445e-15	i	-13.196154678665145	4.834732673203587	20.89	0.13
68349.08	4.764752356640749e-14	1.0496378537991893e-14	Z	-13.321959666471459	4.834732673203587	20.54	0.18
68349.08	4.5188834941602435e-14	1.6512860951258878e-14	Y	-13.344968855503401	4.834732673203587	20.34	0.32
