1.7350e+02     20.02 0.14	RC
2.5970e+02     19.45 0.08	i  
3.4600e+02     19.03 0.09	z  
4.3200e+02     19.71 0.11	RC
5.1800e+02     19.67 0.08	i  
6.0430e+02     19.70 0.15	z  
6.9030e+02     20.18 0.17	RC
7.7640e+02     20.20 0.12	i  
8.6250e+02     19.40 0.13	z  
9.8360e+02     20.46 0.16	RC
1.2318e+03     20.57 0.14	RC
1.5070e+03     21.30 0.25	RC
1.5501e+03     20.39 0.27	z  
1.5930e+03     20.81 0.12	i  
4.4621e+03     21.41 0.30	RC
4.6078e+03     21.38 0.21	i  
4.7535e+03     20.5  0    	z  
8.8060e+04     22.0  0    	RC
9.1540e+04     22.3  0    	i  
