z=   9.3699998e-01 0.
TotalEnergy(erg)    2.5057748363911498e+07    5.2184287327760365e+06
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    4.9832713931667477e+07    1.0562336791702887e+07
Energy2(erg)    2.6069482365134736e+06    4.2602717005319742e+05
T_min_T_max    1.7759422000490068e+02    1.1007227804431650e+04
Interval1    1.7759422000490068e+02    5.3259266075911455e+03
Interval2    5.3259266075911455e+03    1.1007227804431650e+04
