time_sec	flux	flux_err	band_init	band_norm	source
1.74E+02	1.3531976630534312e-13	1.7448873471652187e-14	Rc	R	cenko
2.60E+02	2.4011527497485156e-13	1.7713324569554704e-14	i	R	cenko
3.46E+02	3.1167272190425725e-13	2.5927679380646662e-14	z	R	cenko
4.32E+02	1.8003678092070605e-13	1.824036625478477e-14	Rc	R	cenko
5.18E+02	1.9607390063838436e-13	1.4464388581651368e-14	i	R	cenko
6.04E+02	1.6815074421555016e-13	2.3260754730617534e-14	z	R	cenko
6.90E+02	1.167780554103508e-13	1.8284685482700496e-14	Rc	R	cenko
7.76E+02	1.2034271041629773e-13	1.3307779228267005e-14	i	R	cenko
8.63E+02	2.2166585165542431e-13	2.658645920079631e-14	z	R	cenko
9.84E+02	9.023213618080817e-14	1.3297156153015138e-14	Rc	R	cenko
1.23E+03	8.153822237262625e-14	1.0513985976542567e-14	Rc	R	cenko
1.51E+03	4.162567021033225e-14	9.584681648987672e-15	Rc	R	cenko
1.55E+03	8.906330227415361e-14	2.215698351590125e-14	z	R	cenko
1.59E+03	6.861511390880116e-14	7.58762025935771e-15	i	R	cenko
4.46E+03	3.7615014978904777e-14	1.0393425441239377e-14	Rc	R	cenko
4.61E+03	4.059006891302673e-14	7.8521669328564e-15	i	R	cenko
