time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
900.0	5.724923520564192e-11	5.272849422792841e-13	R	-10.251748565630324	2.9542425094393248	13.52	0.01	manual
89360.0	9.966006255514852e-14	4.911882460652966e-15	g	-13.015973448540883	4.951143160107553	20.83	0.05	manual
90405.0	1.0844631746984698e-13	2.0039995804161587e-15	r	-12.974812490262126	4.956192450523593	20.53	0.02	manual
91356.0	1.083637802359187e-13	3.2282020508885634e-15	i	-12.972567211779111	4.960737075840936	20.37	0.03	manual
92519.0	1.0023121849205844e-13	4.287805837933313e-15	z	-13.004539431639593	4.9662309300126655	20.32	0.04	manual
175200.0	4.199666550379506e-14	1.162050187965292e-15	r	-13.386812490262123	5.243534101832062	21.56	0.03	manual
520440.0	7.843703263477959e-15	1.0923668449660358e-15	g	-14.119973448540884	5.716370668196387	23.59	0.15	manual
521639.0	7.099288236014581e-15	5.885741864953656e-16	r	-14.158812490262124	5.717370053681721	23.49	0.09	manual
522841.0	8.528725699012491e-15	4.807878656563097e-16	i	-14.07656721177911	5.71836963662768	23.13	0.06	manual
780180.0	6.656022926303115e-15	3.679554054532503e-16	r	-14.186812490262126	5.892194812931721	23.56	0.06	manual
781379.0	7.428209552562563e-15	4.1874872547933894e-16	i	-14.136567211779113	5.892861735137199	23.28	0.06	manual
88817.0	8.923210854434837e-14	7.560886051478276e-15	g	-13.063973448540883	4.948496099782834	20.95	0.09	manual
89959.0	1.0646694910411424e-13	2.945946701586274e-15	r	-12.982812490262129	4.954044619096901	20.55	0.03	manual
90910.0	1.0541056638246697e-13	4.994230691645016e-15	i	-12.984567211779112	4.958611657764879	20.4	0.05	manual
91864.0	1.0023121849205844e-13	3.524153967043167e-15	z	-13.004539431639593	4.963145351816788	20.32	0.03	manual
679.0	3.14949520843743e-10	1.1853412300464007e-11	u	-9.523225455595838	2.8318697742805017	12.33	0.01	manual
1256.0	3.324831873774518e-11	2.4498266589646933e-13	R	-10.487748565630325	3.0989896394011773	14.11	0.008	manual
843.0	2.5059343503196615e-11	2.5388559147898196e-13	R	-10.610548565630324	2.9258275746247424	14.417	0.011	manual
1025.0	2.031279517434393e-11	2.0579653320813723e-13	R	-10.701748565630323	3.010723865391773	14.645	0.011	manual
1860.0	1.3821961829584811e-11	1.4003547036483264e-13	R	-10.868948565630324	3.2695129442179165	15.063	0.011	manual
2961.0	7.616749790521295e-12	9.821400133843117e-14	R	-11.127748565630323	3.471438407389299	15.71	0.014	manual
3819.0	5.5535372510319694e-12	7.672495252568006e-14	R	-11.264948565630323	3.581949658373318	16.053	0.015	manual
4429.0	4.6448285645189416e-12	5.989263286817579e-14	R	-11.342548565630324	3.646305680284759	16.247	0.014	manual
5054.0	3.978961063128178e-12	6.963041286467639e-14	R	-11.409748565630323	3.703635237583896	16.415	0.019	manual
6869.0	2.682685051566762e-12	4.200435214076201e-14	R	-11.580948565630322	3.836893516376434	16.843	0.017	manual
