Time 		   	Mag	MagErr	Band		GCN
13248    		>18.1	?		J		14047
13248     		>17.2	?			H		14047
13248   		>16.2	?		Ks		14047
9720				>22.6		?	r		14048
9720				>23.0		?	i		14048
9540						>24.0		?		g'		14049
9540					23.9		0.3		r'		14049
9540						23.6		0.4		i'		14049
9540					23.2		0.3		z'		14049
9540					>21.5		?		J		14049
9540					>21.0		?		H		14049
9540					>19.5		?		Ks		14049
4896			23.2		0.2		I(AB)			14056
13392				>21.7	?	r'(AB)			14050
13392				>22.1	?	i'(AB)			14050
13392				>20.5	?	Z(AB)			14050
13392				>20.0	?	Y(AB)			14050
13392				>19.8	?	J(AB)			14050
13392				>19.5	?	H(AB)			14050
171	>21.4	?	white_FC	14086
6452	>21.7	?	white	14086
20803	>20.3	?	v	14086
15083.5	>21.1	?	b	14086
15502.5	>21.6	?	u	14086
18101.5	>21.5	?	w1	14086
21265	>22.3	?	m2	14086
20243.5	>21.8	?	w2	14086
61039			>20.9	?	I		14087
61039			>19.6	?	Z		14087

