T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
4920.	-9.	-9.	-9.	17.35	0.06	BJ	FTN	cano11
5100.	-9.	-9.	-9.	17.38	0.05	BJ	FTN	cano11
5360.	-9.	-9.	-9.	17.43	0.05	BJ	FTN	cano11
5790.	-9.	-9.	-9.	17.51	0.07	BJ	FTN	cano11
6310.	-9.	-9.	-9.	17.61	0.06	BJ	FTN	cano11
7000.	-9.	-9.	-9.	17.69	0.06	BJ	FTN	cano11
7340.	-9.	-9.	-9.	17.81	0.17	BJ	Lemmon1m	cano11
7520.	-9.	-9.	-9.	17.75	0.04	BJ	FTN	cano11
8210.	-9.	-9.	-9.	17.83	0.02	BJ	FTN	cano11
8810.	-9.	-9.	-9.	17.92	0.06	BJ	FTN	cano11
9070.	-9.	-9.	-9.	17.83	0.05	BJ	FTN	cano11
9160.	-9.	-9.	-9.	17.88	0.14	BJ	Lemmon1m	cano11
9330.	-9.	-9.	-9.	17.91	0.04	BJ	FTN	cano11
9680.	-9.	-9.	-9.	17.97	0.04	BJ	FTN	cano11
10200.	-9.	-9.	-9.	18.05	0.05	BJ	FTN	cano11
10900.	-9.	-9.	-9.	18.11	0.04	BJ	FTN	cano11
12200.	-9.	-9.	-9.	18.2	0.03	BJ	FTN	cano11
12800.	-9.	-9.	-9.	18.31	0.08	BJ	FTN	cano11
13000.	-9.	-9.	-9.	18.32	0.08	BJ	FTN	cano11
13300.	-9.	-9.	-9.	18.24	0.03	BJ	FTN	cano11
13700.	-9.	-9.	-9.	18.32	0.03	BJ	FTN	cano11
14200.	-9.	-9.	-9.	18.39	0.05	BJ	FTN	cano11
14900.	-9.	-9.	-9.	18.42	0.03	BJ	FTN	cano11
15400.	-9.	-9.	-9.	18.43	0.05	BJ	FTN	cano11
16200.	-9.	-9.	-9.	18.49	0.04	BJ	FTN	cano11
16600.	-9.	-9.	-9.	18.47	0.09	BJ	FTN	cano11
16800.	-9.	-9.	-9.	18.61	0.06	BJ	FTN	cano11
17100.	-9.	-9.	-9.	18.6	0.05	BJ	FTN	cano11
17500.	-9.	-9.	-9.	18.56	0.04	BJ	FTN	cano11
18100.	-9.	-9.	-9.	18.61	0.03	BJ	FTN	cano11
18700.	-9.	-9.	-9.	18.69	0.04	BJ	FTN	cano11
19300.	-9.	-9.	-9.	18.66	0.02	BJ	FTN	cano11
20000.	-9.	-9.	-9.	18.75	0.04	BJ	FTN	cano11
20400.	-9.	-9.	-9.	18.84	0.12	BJ	FTN	cano11
20600.	-9.	-9.	-9.	18.73	0.07	BJ	FTN	cano11
20900.	-9.	-9.	-9.	18.76	0.05	BJ	FTN	cano11
21300.	-9.	-9.	-9.	18.79	0.03	BJ	FTN	cano11
21800.	-9.	-9.	-9.	18.88	0.04	BJ	FTN	cano11
41000.	-9.	-9.	-9.	19.84	0.17	BJ	CrAO	cano11
41300.	-9.	-9.	-9.	19.79	0.16	BJ	CrAO	cano11
41600.	-9.	-9.	-9.	19.38	0.13	BJ	CrAO	cano11
42200.	-9.	-9.	-9.	19.61	0.23	BJ	CrAO	cano11
42400.	-9.	-9.	-9.	19.52	0.02	BJ	MAO	cano11
42400.	-9.	-9.	-9.	19.53	0.23	BJ	CrAO	cano11
42700.	-9.	-9.	-9.	19.61	0.28	BJ	CrAO	cano11
42800.	-9.	-9.	-9.	19.54	0.02	BJ	MAO	cano11
43500.	-9.	-9.	-9.	19.51	0.3	BJ	CrAO	cano11
43700.	-9.	-9.	-9.	19.61	0.2	BJ	CrAO	cano11
43900.	-9.	-9.	-9.	19.57	0.03	BJ	MAO	cano11
44000.	-9.	-9.	-9.	19.59	0.16	BJ	CrAO	cano11
44200.	-9.	-9.	-9.	19.57	0.02	BJ	MAO	cano11
44300.	-9.	-9.	-9.	19.73	0.3	BJ	CrAO	cano11
44600.	-9.	-9.	-9.	19.88	0.17	BJ	CrAO	cano11
44800.	-9.	-9.	-9.	19.59	0.12	BJ	CrAO	cano11
45100.	-9.	-9.	-9.	19.68	0.08	BJ	CrAO	cano11
45400.	-9.	-9.	-9.	19.62	0.03	BJ	MAO	cano11
45600.	-9.	-9.	-9.	19.61	0.03	BJ	MAO	cano11
45600.	-9.	-9.	-9.	19.89	0.08	BJ	CrAO	cano11
45900.	-9.	-9.	-9.	19.74	0.09	BJ	CrAO	cano11
46100.	-9.	-9.	-9.	19.77	0.08	BJ	CrAO	cano11
46400.	-9.	-9.	-9.	19.76	0.08	BJ	CrAO	cano11
46700.	-9.	-9.	-9.	19.63	0.02	BJ	MAO	cano11
46700.	-9.	-9.	-9.	19.84	0.1	BJ	CrAO	cano11
47000.	-9.	-9.	-9.	19.96	0.1	BJ	CrAO	cano11
47000.	-9.	-9.	-9.	19.65	0.03	BJ	MAO	cano11
47300.	-9.	-9.	-9.	19.97	0.09	BJ	CrAO	cano11
47500.	-9.	-9.	-9.	19.86	0.09	BJ	CrAO	cano11
47800.	-9.	-9.	-9.	19.68	0.03	BJ	MAO	cano11
47800.	-9.	-9.	-9.	19.85	0.09	BJ	CrAO	cano11
48000.	-9.	-9.	-9.	19.86	0.09	BJ	CrAO	cano11
48500.	-9.	-9.	-9.	19.82	0.07	BJ	CrAO	cano11
48700.	-9.	-9.	-9.	19.86	0.08	BJ	CrAO	cano11
49000.	-9.	-9.	-9.	19.96	0.09	BJ	CrAO	cano11
49200.	-9.	-9.	-9.	19.95	0.11	BJ	CrAO	cano11
49500.	-9.	-9.	-9.	19.92	0.09	BJ	CrAO	cano11
49700.	-9.	-9.	-9.	19.86	0.08	BJ	CrAO	cano11
49900.	-9.	-9.	-9.	19.84	0.09	BJ	CrAO	cano11
50200.	-9.	-9.	-9.	19.91	0.1	BJ	CrAO	cano11
50500.	-9.	-9.	-9.	20.07	0.09	BJ	CrAO	cano11
50700.	-9.	-9.	-9.	20.12	0.1	BJ	CrAO	cano11
51000.	-9.	-9.	-9.	20.05	0.11	BJ	CrAO	cano11
51200.	-9.	-9.	-9.	19.93	0.08	BJ	CrAO	cano11
51600.	-9.	-9.	-9.	19.99	0.11	BJ	CrAO	cano11
51800.	-9.	-9.	-9.	19.99	0.14	BJ	CrAO	cano11
52000.	-9.	-9.	-9.	20.26	0.19	BJ	CrAO	cano11
52300.	-9.	-9.	-9.	19.98	0.21	BJ	CrAO	cano11
52500.	-9.	-9.	-9.	20.03	0.18	BJ	CrAO	cano11
52800.	-9.	-9.	-9.	20.03	0.14	BJ	CrAO	cano11
53100.	-9.	-9.	-9.	20.07	0.14	BJ	CrAO	cano11
53400.	-9.	-9.	-9.	20.05	0.17	BJ	CrAO	cano11
53700.	-9.	-9.	-9.	20.06	0.19	BJ	CrAO	cano11
53900.	-9.	-9.	-9.	19.89	0.14	BJ	CrAO	cano11
54200.	-9.	-9.	-9.	19.95	0.13	BJ	CrAO	cano11
54400.	-9.	-9.	-9.	20.13	0.14	BJ	CrAO	cano11
54700.	-9.	-9.	-9.	20.14	0.12	BJ	CrAO	cano11
55000.	-9.	-9.	-9.	20.17	0.1	BJ	CrAO	cano11
55200.	-9.	-9.	-9.	20.02	0.11	BJ	CrAO	cano11
55500.	-9.	-9.	-9.	20.02	0.09	BJ	CrAO	cano11
55700.	-9.	-9.	-9.	20.15	0.14	BJ	CrAO	cano11
56000.	-9.	-9.	-9.	20.09	0.12	BJ	CrAO	cano11
56200.	-9.	-9.	-9.	20.24	0.1	BJ	CrAO	cano11
56500.	-9.	-9.	-9.	20.04	0.1	BJ	CrAO	cano11
56800.	-9.	-9.	-9.	20.17	0.11	BJ	CrAO	cano11
57000.	-9.	-9.	-9.	20.23	0.16	BJ	CrAO	cano11
57300.	-9.	-9.	-9.	20.05	0.13	BJ	CrAO	cano11
57500.	-9.	-9.	-9.	20.19	0.18	BJ	CrAO	cano11
57800.	-9.	-9.	-9.	20.05	0.24	BJ	CrAO	cano11
58100.	-9.	-9.	-9.	20.17	0.22	BJ	CrAO	cano11
58300.	-9.	-9.	-9.	20.08	0.28	BJ	CrAO	cano11
58600.	-9.	-9.	-9.	19.97	0.33	BJ	CrAO	cano11
126000.	-9.	-9.	-9.	21.12	0.05	BJ	MAO	cano11
126000.	-9.	-9.	-9.	21.05	0.05	BJ	MAO	cano11
127000.	-9.	-9.	-9.	21.11	0.05	BJ	MAO	cano11
128000.	-9.	-9.	-9.	21.1	0.05	BJ	MAO	cano11
128000.	-9.	-9.	-9.	21.02	0.07	BJ	MAO	cano11
129000.	-9.	-9.	-9.	21.02	0.05	BJ	MAO	cano11
129000.	-9.	-9.	-9.	21.14	0.07	BJ	MAO	cano11
143000.	-9.	-9.	-9.	21.2	0.09	BJ	BTA	cano11
299000.	-9.	-9.	-9.	22.52	0.06	BJ	MAO	cano11
5010.	-9.	-9.	-9.	16.92	0.06	VJ	FTN	cano11
8900.	-9.	-9.	-9.	17.46	0.01	VJ	FTN	cano11
12600.	-9.	-9.	-9.	17.72	0.32	VJ	BOAO	cano11
12900.	-9.	-9.	-9.	17.8	0.02	VJ	FTN	cano11
13000.	-9.	-9.	-9.	17.69	0.25	VJ	BOAO	cano11
13700.	-9.	-9.	-9.	17.84	0.25	VJ	BOAO	cano11
14100.	-9.	-9.	-9.	17.95	0.28	VJ	BOAO	cano11
16000.	-9.	-9.	-9.	18.14	0.24	VJ	BOAO	cano11
16700.	-9.	-9.	-9.	18.02	0.02	VJ	FTN	cano11
20500.	-9.	-9.	-9.	18.34	0.09	VJ	FTN	cano11
41100.	-9.	-9.	-9.	19.15	0.09	VJ	CrAO	cano11
41300.	-9.	-9.	-9.	19.03	0.07	VJ	CrAO	cano11
41600.	-9.	-9.	-9.	19.05	0.1	VJ	CrAO	cano11
42200.	-9.	-9.	-9.	19.2	0.15	VJ	CrAO	cano11
42500.	-9.	-9.	-9.	19.26	0.15	VJ	CrAO	cano11
42800.	-9.	-9.	-9.	19.22	0.21	VJ	CrAO	cano11
43000.	-9.	-9.	-9.	19.43	0.24	VJ	CrAO	cano11
43300.	-9.	-9.	-9.	19.34	0.23	VJ	CrAO	cano11
43500.	-9.	-9.	-9.	19.23	0.16	VJ	CrAO	cano11
43800.	-9.	-9.	-9.	19.22	0.14	VJ	CrAO	cano11
44100.	-9.	-9.	-9.	19.15	0.12	VJ	CrAO	cano11
44300.	-9.	-9.	-9.	19.14	0.13	VJ	CrAO	cano11
44600.	-9.	-9.	-9.	19.23	0.07	VJ	CrAO	cano11
44800.	-9.	-9.	-9.	19.21	0.06	VJ	CrAO	cano11
45200.	-9.	-9.	-9.	19.22	0.06	VJ	CrAO	cano11
45700.	-9.	-9.	-9.	19.31	0.04	VJ	CrAO	cano11
46000.	-9.	-9.	-9.	19.37	0.04	VJ	CrAO	cano11
46200.	-9.	-9.	-9.	19.33	0.04	VJ	CrAO	cano11
46500.	-9.	-9.	-9.	19.28	0.05	VJ	CrAO	cano11
46700.	-9.	-9.	-9.	19.33	0.04	VJ	CrAO	cano11
46900.	-9.	-9.	-9.	19.32	0.14	VJ	OAUV	cano11
47000.	-9.	-9.	-9.	19.32	0.04	VJ	CrAO	cano11
47300.	-9.	-9.	-9.	19.38	0.04	VJ	CrAO	cano11
47600.	-9.	-9.	-9.	19.34	0.05	VJ	CrAO	cano11
47900.	-9.	-9.	-9.	19.33	0.04	VJ	CrAO	cano11
48100.	-9.	-9.	-9.	19.22	0.09	VJ	CrAO	cano11
48100.	-9.	-9.	-9.	19.3	0.03	VJ	OAUV	cano11
48500.	-9.	-9.	-9.	19.34	0.04	VJ	CrAO	cano11
48700.	-9.	-9.	-9.	19.4	0.06	VJ	CrAO	cano11
49000.	-9.	-9.	-9.	19.44	0.06	VJ	CrAO	cano11
49200.	-9.	-9.	-9.	19.4	0.06	VJ	CrAO	cano11
49500.	-9.	-9.	-9.	19.43	0.07	VJ	CrAO	cano11
49800.	-9.	-9.	-9.	19.41	0.05	VJ	CrAO	cano11
50000.	-9.	-9.	-9.	19.38	0.05	VJ	CrAO	cano11
50300.	-9.	-9.	-9.	19.4	0.04	VJ	CrAO	cano11
50500.	-9.	-9.	-9.	19.53	0.05	VJ	CrAO	cano11
50800.	-9.	-9.	-9.	19.51	0.07	VJ	CrAO	cano11
51100.	-9.	-9.	-9.	19.45	0.07	VJ	CrAO	cano11
51200.	-9.	-9.	-9.	19.27	0.09	VJ	OAUV	cano11
51300.	-9.	-9.	-9.	19.52	0.08	VJ	CrAO	cano11
51600.	-9.	-9.	-9.	19.52	0.08	VJ	CrAO	cano11
51800.	-9.	-9.	-9.	19.48	0.08	VJ	CrAO	cano11
52100.	-9.	-9.	-9.	19.7	0.12	VJ	CrAO	cano11
52400.	-9.	-9.	-9.	19.65	0.12	VJ	CrAO	cano11
52600.	-9.	-9.	-9.	19.48	0.1	VJ	CrAO	cano11
53000.	-9.	-9.	-9.	19.47	0.09	VJ	CrAO	cano11
53200.	-9.	-9.	-9.	19.46	0.09	VJ	CrAO	cano11
53500.	-9.	-9.	-9.	19.51	0.09	VJ	CrAO	cano11
53600.	-9.	-9.	-9.	19.58	0.11	VJ	OAUV	cano11
53700.	-9.	-9.	-9.	19.45	0.1	VJ	CrAO	cano11
54000.	-9.	-9.	-9.	19.58	0.1	VJ	CrAO	cano11
54300.	-9.	-9.	-9.	19.58	0.09	VJ	CrAO	cano11
54500.	-9.	-9.	-9.	19.69	0.09	VJ	CrAO	cano11
54800.	-9.	-9.	-9.	19.55	0.06	VJ	CrAO	cano11
55000.	-9.	-9.	-9.	19.53	0.06	VJ	OAUV	cano11
55000.	-9.	-9.	-9.	19.61	0.13	VJ	CrAO	cano11
55300.	-9.	-9.	-9.	19.48	0.07	VJ	CrAO	cano11
55600.	-9.	-9.	-9.	19.65	0.09	VJ	CrAO	cano11
55800.	-9.	-9.	-9.	19.52	0.08	VJ	CrAO	cano11
56100.	-9.	-9.	-9.	19.53	0.06	VJ	CrAO	cano11
56300.	-9.	-9.	-9.	19.56	0.06	VJ	CrAO	cano11
56600.	-9.	-9.	-9.	19.6	0.08	VJ	CrAO	cano11
56900.	-9.	-9.	-9.	19.68	0.08	VJ	CrAO	cano11
57100.	-9.	-9.	-9.	19.69	0.08	VJ	CrAO	cano11
57400.	-9.	-9.	-9.	19.72	0.09	VJ	CrAO	cano11
57600.	-9.	-9.	-9.	19.58	0.07	VJ	CrAO	cano11
57900.	-9.	-9.	-9.	19.52	0.11	VJ	CrAO	cano11
58100.	-9.	-9.	-9.	19.73	0.13	VJ	CrAO	cano11
58400.	-9.	-9.	-9.	19.63	0.14	VJ	CrAO	cano11
58700.	-9.	-9.	-9.	19.62	0.16	VJ	CrAO	cano11
58900.	-9.	-9.	-9.	19.73	0.27	VJ	CrAO	cano11
323000.	-9.	-9.	-9.	22.22	0.14	VJ	Z1000	cano11
3200.	-9.	-9.	-9.	16.46	0.08	RC	Lemmon1m	cano11
3370.	-9.	-9.	-9.	16.82	0.19	RC	Lemmon1m	cano11
4840.	-9.	-9.	-9.	16.7	0.03	RC	FTN	cano11
5180.	-9.	-9.	-9.	16.8	0.02	RC	FTN	cano11
5530.	-9.	-9.	-9.	16.82	0.01	RC	FTN	cano11
5960.	-9.	-9.	-9.	16.89	0.01	RC	FTN	cano11
5960.	-9.	-9.	-9.	16.9	0.08	RC	Lemmon1m	cano11
6650.	-9.	-9.	-9.	16.99	0.01	RC	FTN	cano11
7260.	-9.	-9.	-9.	17.04	0.01	RC	FTN	cano11
7860.	-9.	-9.	-9.	17.09	0.01	RC	FTN	cano11
8210.	-9.	-9.	-9.	17.1	0.11	RC	Lemmon1m	cano11
8810.	-9.	-9.	-9.	17.13	0.04	RC	FTN	cano11
9160.	-9.	-9.	-9.	17.21	0.02	RC	FTN	cano11
9420.	-9.	-9.	-9.	17.3	0.02	RC	FTN	cano11
9940.	-9.	-9.	-9.	17.26	0.01	RC	FTN	cano11
10100.	-9.	-9.	-9.	17.22	0.06	RC	Lemmon1m	cano11
10500.	-9.	-9.	-9.	17.4	0.01	RC	FTN	cano11
11100.	-9.	-9.	-9.	17.38	0.01	RC	FTN	cano11
11800.	-9.	-9.	-9.	17.38	0.01	RC	FTN	cano11
12800.	-9.	-9.	-9.	17.45	0.05	RC	FTN	cano11
13100.	-9.	-9.	-9.	17.56	0.03	RC	FTN	cano11
13400.	-9.	-9.	-9.	17.62	0.02	RC	FTN	cano11
13900.	-9.	-9.	-9.	17.67	0.01	RC	FTN	cano11
14500.	-9.	-9.	-9.	17.68	0.01	RC	FTN	cano11
15100.	-9.	-9.	-9.	17.76	0.02	RC	FTN	cano11
15700.	-9.	-9.	-9.	17.87	0.01	RC	FTN	cano11
16900.	-9.	-9.	-9.	17.86	0.04	RC	FTN	cano11
17200.	-9.	-9.	-9.	17.88	0.03	RC	FTN	cano11
17700.	-9.	-9.	-9.	17.88	0.02	RC	FTN	cano11
18300.	-9.	-9.	-9.	17.93	0.02	RC	FTN	cano11
18900.	-9.	-9.	-9.	17.96	0.02	RC	FTN	cano11
19500.	-9.	-9.	-9.	17.94	0.02	RC	FTN	cano11
20400.	-9.	-9.	-9.	17.97	0.08	RC	FTN	cano11
20600.	-9.	-9.	-9.	18.13	0.04	RC	FTN	cano11
21000.	-9.	-9.	-9.	18.13	0.03	RC	FTN	cano11
21500.	-9.	-9.	-9.	18.04	0.02	RC	FTN	cano11
22100.	-9.	-9.	-9.	18.09	0.02	RC	FTN	cano11
35300.	-9.	-9.	-9.	18.77	0.13	RC	AZT-33IK	cano11
36500.	-9.	-9.	-9.	18.81	0.13	RC	AZT-33IK	cano11
39700.	-9.	-9.	-9.	18.85	0.04	RC	HCT	cano11
40100.	-9.	-9.	-9.	18.88	0.04	RC	HCT	cano11
41100.	-9.	-9.	-9.	18.84	0.07	RC	CrAO	cano11
41400.	-9.	-9.	-9.	18.84	0.06	RC	CrAO	cano11
41600.	-9.	-9.	-9.	18.75	0.08	RC	CrAO	cano11
41700.	-9.	-9.	-9.	18.89	0.02	RC	MAO	cano11
42100.	-9.	-9.	-9.	18.89	0.02	RC	MAO	cano11
42300.	-9.	-9.	-9.	18.81	0.09	RC	CrAO	cano11
42600.	-9.	-9.	-9.	18.77	0.1	RC	CrAO	cano11
43100.	-9.	-9.	-9.	18.96	0.02	RC	MAO	cano11
43400.	-9.	-9.	-9.	19.01	0.11	RC	CrAO	cano11
43500.	-9.	-9.	-9.	18.94	0.02	RC	MAO	cano11
43600.	-9.	-9.	-9.	18.81	0.1	RC	CrAO	cano11
43900.	-9.	-9.	-9.	18.9	0.1	RC	CrAO	cano11
44200.	-9.	-9.	-9.	18.77	0.1	RC	CrAO	cano11
44400.	-9.	-9.	-9.	18.92	0.1	RC	CrAO	cano11
44600.	-9.	-9.	-9.	18.99	0.02	RC	MAO	cano11
44700.	-9.	-9.	-9.	19.01	0.04	RC	CrAO	cano11
44900.	-9.	-9.	-9.	18.99	0.05	RC	CrAO	cano11
44900.	-9.	-9.	-9.	18.97	0.02	RC	MAO	cano11
45300.	-9.	-9.	-9.	18.94	0.05	RC	CrAO	cano11
45800.	-9.	-9.	-9.	18.97	0.03	RC	CrAO	cano11
46000.	-9.	-9.	-9.	19.	0.02	RC	MAO	cano11
46100.	-9.	-9.	-9.	19.02	0.04	RC	CrAO	cano11
46300.	-9.	-9.	-9.	19.05	0.03	RC	CrAO	cano11
46300.	-9.	-9.	-9.	19.02	0.01	RC	MAO	cano11
46600.	-9.	-9.	-9.	19.08	0.04	RC	CrAO	cano11
46800.	-9.	-9.	-9.	19.05	0.03	RC	CrAO	cano11
47100.	-9.	-9.	-9.	19.03	0.03	RC	CrAO	cano11
47400.	-9.	-9.	-9.	19.05	0.02	RC	MAO	cano11
47600.	-9.	-9.	-9.	19.03	0.04	RC	CrAO	cano11
48000.	-9.	-9.	-9.	19.16	0.04	RC	CrAO	cano11
48200.	-9.	-9.	-9.	19.1	0.04	RC	CrAO	cano11
48400.	-9.	-9.	-9.	19.08	0.02	RC	LT	cano11
48600.	-9.	-9.	-9.	19.13	0.03	RC	CrAO	cano11
48700.	-9.	-9.	-9.	19.1	0.02	RC	LT	cano11
48800.	-9.	-9.	-9.	19.07	0.03	RC	CrAO	cano11
49000.	-9.	-9.	-9.	19.07	0.02	RC	LT	cano11
49100.	-9.	-9.	-9.	19.08	0.04	RC	CrAO	cano11
49300.	-9.	-9.	-9.	19.13	0.04	RC	CrAO	cano11
49600.	-9.	-9.	-9.	19.16	0.05	RC	CrAO	cano11
49900.	-9.	-9.	-9.	19.14	0.04	RC	CrAO	cano11
50100.	-9.	-9.	-9.	19.14	0.05	RC	CrAO	cano11
50400.	-9.	-9.	-9.	19.16	0.04	RC	CrAO	cano11
50600.	-9.	-9.	-9.	19.14	0.04	RC	CrAO	cano11
