Time	Mag	MagErr	Band	GCN
28476	>17.6	?	R	15641
5220.	>15.7	?	R	15643
75312	18.48	0.02	R	15646
81180	18.61	0.02	R	15646
107028	18.97	0.1	R	15647
83376	18.84	0.02	r	15650
83808	18.72	0.02	i	15650
84844.8	19.14	0.02	g	15650
162950	19.77	0.03	r	15650
163555	19.64	0.04	i	15650
164765	20.06	0.03	g	15650
247715	19.57	0.10	u	15673
137852	19.37	0.05	white	15673
230079	20.07	0.07	white	15673
116997	19.2	0.1	Rc	15676
108778	19.6	0.1	g	15681
194141	20.3	0.1	g	15681
378173	20.9	0.1	g	15681
306628	20.26	0.06	R	15711
391571	20.32	0.08	R	15711
475253	20.74	0.13	R	15711
