z=   2.4500000e+00 0.
TotalEnergy(erg)    1.7317028495075263e+05    1.3896678671368918e+09
TotalEnergy_common(erg)    2.3774642728775128e+05    2.0619593234711328e+09
Energy1(erg)    6.2924129917970404e+05    4.7571596516807047e+04
Energy2(erg)    5.4586577479072881e+05                      -NaN
Energy3(erg)    4.8335174638194079e+05                      -NaN
Energy4(erg)    1.2575568826211691e+05    1.4622958240635643e+09
T_min_T_max    3.5342028497032101e+02    2.5761303991769651e+04
Interval1    3.5342028497032101e+02    2.3769682726505466e+03
Interval2    2.3769682726505466e+03    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    3.3123005236175650e+03
Interval4    3.3123005236175650e+03    2.5761303991769651e+04
