z=   2.4500000e+00 0.
TotalEnergy(erg)    1.2434167919605835e+05    6.8559736690047008e+04
TotalEnergy(erg)    1.5820525740692878e+05    7.6634880171452300e+04
Energy1(erg)    4.5593941565558920e+05    1.0790656159013009e+05
Energy2(erg)    4.0400331737481669e+05   -1.1545280004924223e+05
Energy3(erg)    1.2533379362536522e+05    6.9611752812239603e+04
T_min_T_max    3.5342028497032101e+02    2.5761303991769651e+04
Interval1    3.5342028497032101e+02    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    1.7643836972796566e+03
Interval3    1.7643836972796566e+03    2.5761303991769651e+04
