z=   2.4500000e+00 0.
TotalEnergy(erg)    9.5165684145409992e-04    1.3650202142557072e-01
Energy1(erg)    2.9478616886672482e+00    9.8832010701234915e-02
Energy2(erg)   -2.9497133154674793e+00                      -NaN
Energy3(erg)    5.1337105033157018e+00                      -NaN
Energy4(erg)    1.9047727479946644e+01    2.4751479208170189e+04
T_min_T_max    3.5342028497032101e+02    2.5761303991769651e+04
Interval1    3.5342028497032101e+02    2.3769682726505466e+03
Interval2    2.3769682726505466e+03    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    3.3123005236175650e+03
Interval4    3.3123005236175650e+03    2.5761303991769651e+04
