Time      Mag    	MagErr       		Band           GCN
74640      >23.4            ?                    g'             9297
74640      >23.3            ?                    r'             9297
74640      >22.6            ?                    i'             9297
74640      >22.2            ?                    z'             9297
74640      >21.8            ?                    J              9297
74640      >20.7            ?                    H              9297
74640      >20.             ?                    K              9297
140.5      >21.7            ?                   white fc        9308
35793      >19.8            ?                    v              9308
41575.5    >22.1             ?                    b              9308
52975      >21               ?                    u             9308
52115      >22.2            ?                    uvw1           9308
45106      >20.9            ?                    uvm2           9308
35702      >21.9            ?                    uvw2           9308
63705      >21.5            ?                    white          9308
