time,mag,err,Instrument/Filter,source,delta t(days)/time_unconverted
9504,21.8,0.3,R,astro-ph-0608166,0.11
18144,19.19,0.11,J,astro-ph-0608166,0.21
18144,17.82,0.09,H,astro-ph-0608166,0.21
18144,16.84,0.05,K,astro-ph-0608166,0.21
32832,20.47,0.27,J,astro-ph-0608166,0.38
32832,18.37,0.16,H,astro-ph-0608166,0.38
32832,17.26,0.08,K,astro-ph-0608166,0.38
95904,20.29,0.28,H,astro-ph-0608166,1.11
105408,21.12,0.19,J,astro-ph-0608166,1.22
106272,20.69,0.31,H,astro-ph-0608166,1.23
108000,19.51,0.15,K,astro-ph-0608166,1.25
98496,23.8,0.2,I,astro-ph-0608166,1.14
101088,24.5,0.2,R,astro-ph-0608166,1.17
104544,25.1,0.3,V,astro-ph-0608166,1.21
181440,19.8,0.3,K,astro-ph-0608166,2.1
183168,19.8,0.15,K,astro-ph-0608166,2.12
190080,24,0.3,I,astro-ph-0608166,2.2
193536,25.2,0.4,R,astro-ph-0608166,2.24
74304,20.4,0.2,J,astro-ph-0608166/GCN Data (Kato et al. 2003),0.86
74304,19.9,0.3,H,astro-ph-0608166/GCN Data (Kato et al. 2003),0.86
74304,18.5,0.2,K,astro-ph-0608166/GCN Data (Kato et al. 2003),0.86
169344,21.5,0.5,J,astro-ph-0608166/GCN Data (Kato et al. 2003),1.96
169344,20.4,0.4,H,astro-ph-0608166/GCN Data (Kato et al. 2003),1.96
169344,19.1,0.1,K,astro-ph-0608166/GCN Data (Kato et al. 2003),1.96
