Time_aftertrigger(s)	Mag	MagErr	Band		GCN
128			>19.6	?	White		10667
22680			>22.5	?	R(Vega)		10671
25956			>21.9	?	z(AB)		10671
32400			>23.2	?	z		10672
42516                   >19.3	?	J		10675
42516                   >18.4	?	H		10675
42516                   >17.0	?	Ks		10675
33120			>23.03	?	g'		10676
33120 			>23.37	?	r'		10676
33120  			>22.96	?	i'		10676
33120  			>23.04	?	z'		10676
33120  			>21.77	?	J		10676
33120  			>21.21	?	H		10676
33120 			>20.29	?	K		10676
50400			19.9	?	K(Vega)		10682
50400			22.1	?	J(Vega)		10682
7776             	>20.6	?	z'(AB)		10677
455.328    		>18.4  	?	g'		10679
455.328    		>18.5 	?	Rc		10679
455.328    		>17.7	?	Ic		10679
3763.58    		>19.6  	?	g'		10679
3763.58    		>20.0	?	Rc		10679
3763.58    		>19.4	?	Ic		10679
26460			>19.3	?	Rc		10681
40554              	>21.5	?	B		10687
40590              	>21.8	?	I		10687
45846              	>21.7	?	R		10687
203       	>20.8(FC)	?	white		10688
412.5    	>20.0(FC)	?	 u		10688
1087      	>21.2		?	 white		10688
1274      	>19.2		?	 v		10688
1285.5    	>20.1		?	 b		10688
1145.5    	>20.1		?	 u		10688
1323.5    	>19.7		?	 w1		10688
1298.5    	>19.1		?	 m2		10688
3089      	>20.0		?	 w2		10688
61200		20.9		?	H(Vega)		10690
7620.48   	20.1  		0.3        R		10693
