GRB131105A
Filter         T_start(s)   T_stop(s)      Exp(s)         Mag
white_FC           295          444          147         >21.5
white              295         1544          353         >22.0
v                  774         1594           97         >19.3
b                 1152         1520           58         >19.9
u                  848         1495           78         >19.8
w1                 823         1471           78         >19.4
m2                 798         1619           39         >18.4
w2                 750         1570           78         >19.5
