Time	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source		
146	19.6	0	White	AB	Swift/UVOT	n	10841		
1735	24	0	i'	AB	3.5m-NTT/Ultracam	n	10842		
6984	18.8	0	J	VEGA	PAIRITEL	n	10843
6984	17.9	0	H	VEGA	PAIRITEL	n	10843		
6984	16.6	0	Ks	VEGA	PAIRITEL	n	10843		
1497	24.2	0	g'	2MASS	2.2m-ESO/MPI/GROND	n	10844
1497	23.9	0	r'	2MASS	2.2m-ESO/MPI/GROND	n	10844		
1497	22.9	0	i'	2MASS	2.2m-ESO/MPI/GROND	n	10844		
1497	22.5	0	z'	2MASS	2.2m-ESO/MPI/GROND	n	10844		
1497	21.4	0	J	2MASS	2.2m-ESO/MPI/GROND	n	10844		
1497	20.7	0	H	2MASS	2.2m-ESO/MPI/GROND	n	10844		
1497	20.3	0	K	2MASS	2.2m-ESO/MPI/GROND	n	10844		
147	21.5	0	white(fc)	AB	Swift/UVOT	n	10856		
939	21.5	0	white(fc)	AB	Swift/UVOT	n	10856		
409	20.7	0	U(fc)	AB	Swift/UVOT	n	10856		
3825	20.6	0	V	AB	Swift/UVOT	n	10856		
3480.5	21.1	0	B	AB	Swift/UVOT	n	10856		
3250	21.1	0	U	AB	Swift/UVOT	n	10856		
4049.5	21.1	0	UVW1	AB	Swift/UVOT	n	10856		
3710.5	21.1	0	UVW2	AB	Swift/UVOT	n	10856		
3349.5	22.2	0	white	AB	Swift/UVOT	n	10856		
19800	22.1	0	J	VEGA	Gemini-N	n	10861		
19800	20.9	0	K	VEGA	Gemini-N	n	10861		
772167	22.2	0	K'	VEGA	Gemini-N	n	10928		
1440	24.2	0	G	AB	GROND		y	arXiV1108.1077
1440	23.9	0	R	AB	GROND		y	arXiV1108.1077
1440	22.9	0	I	AB	GROND		y	arXiV1108.1077
1440	22.5	0	Z	AB	GROND		y	arXiV1108.1077
1440	21.4	0	J	AB	GROND		y	arXiV1108.1077
1440	20.7	0	H	AB	GROND		y	arXiV1108.1077
1440	20.3	0	K	AB	GROND		y	arXiV1108.1077
1680	24	0	I	2MASS	NTT/Ultracam		y	arXiV1108.1077
6840	18.8	0	J	2MASS	PAIRITEL		y	arXiV1108.1077
6840	17.9	0	H	2MASS	PAIRITEL		y	arXiV1108.1077
6840	16.6	0	K	2MASS	PAIRITEL		y	arXiV1108.1077
19800	20.9	0	K	2MASS	Gemini-N		y	arXiV1108.1077
798000	22.2	0	K	2MASS	Gemini-N		y	arXiV1108.1077
