Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source	
3274.5	21.08	0	white_FC	AB	Swift/UVOT	n	10499	
3966.5	21.32	0	white	AB	Swift/UVOT	n	10499	
4787	20.48	0	V	AB	Swift/UVOT	n	10499	
3761.5	20.79	0	B	AB	Swift/UVOT	n	10499	
3914	20.66	0	U	AB	Swift/UVOT	n	10499	
5134	21.11	0	UVW1	AB	Swift/UVOT	n	10499	
5211	21.11	0	UVM2	AB	Swift/UVOT	n	10499	
4616.5	21.28	0	UVW2	AB	Swift/UVOT	n	10499	
61007.4	21.6	0	R	Johnson	CrAO	n	10521	10521
2293.056	20.76	0.07	R	Johnson	1.23m-CAHA	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
3823.2	21.23	0.07	R	Johnson	1.23m-CAHA	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
6579.36	21.35	0.08	R	Johnson	1.23m-CAHA	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
7947.936	22.43	0.07	r’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
8620.128	22.49	0.06	r’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
81458.784	24.5	0	g’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
82817.856	23.3	0	r′	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
83432.16	23.1	0	i′	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
84077.568	23.5	0	z'	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
184661.856	24.05	0.07	i′	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
185567.328	24.12	0.08	r’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
187187.328	26.71	0.08	g’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
187303.104	23.83	0.09	z’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
10633406.976	25.25	0.04	r’	Sloan	10.4m-GTC	n	https://www.astroscu.unam.mx/rmaa/RMxAC..42/PDF/RMxAC..42_rsanchez.pdf	
