Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
73.3	20.3	0.429	R	USNO	DAO	n	10459
154	16.9	0	R?	JOHNSON	MASTER-2m	n	10463
2149	18.5	0	R?	JOHNSON	MASTER-2m	n	10463
49373.58	22.01	0.05	i	USNO	Gemini-N/GMOS	n	10465
206.5	21.06	0	white_FC	AB	Swift/UVOT	n	10468
348.5	21.24	0	white	AB	Swift/UVOT	n	10468
699	18.82	0	V	AB	Swift/UVOT	n	10468
615	19.58	0	B	AB	Swift/UVOT	n	10468
482	20.1	0	U	AB	Swift/UVOT	n	10468
747.5	19.49	0	UVW1	AB	Swift/UVOT	n	10468
713	19.26	0	UVM2	AB	Swift/UVOT	n	10468
674	19.61	0	UVW2	AB	Swift/UVOT	n	10468						
1620	21.54	0.22	R	USNO	1m-Telescope-MtLemmon	n	10480
2808	20.02	0.12	I	USNO	1m-Telescope-MtLemmon	n	10480
3142.8	20.24	0.15	I	USNO	1m-Telescope-MtLemmon	n	10480
3477.6	20.08	0.13	I	USNO	1m-Telescope-MtLemmon	n	10480
3816	20.17	0.17	I	USNO	1m-Telescope-MtLemmon	n	10480
4150.8	20.34	0.19	I	USNO	1m-Telescope-MtLemmon	n	10480
4885.2	20.31	0.17	I	USNO	1m-Telescope-MtLemmon	n	10480
