Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.3197600000000000e+02    1.0000000000000000e+01    1.0743245710372925e-03    1.5482015492620466e-04
   1.5697600000000000e+02    1.5000000000000000e+01    9.1573307331275946e-04    1.0683060101995466e-04
   1.8697600000000000e+02    1.5000000000000000e+01    9.1122233643436436e-04    1.0788658719148634e-04
   2.0811000000000001e+02    6.1340000000000003e+00    8.2546994274616239e-04    1.5989148648948669e-04
   3.7527429999999999e+03    3.0840499999999997e+02    8.4376504325294491e-05    1.6637665771465302e-05
   5.4246480000000001e+03    4.4950000000000000e+02    7.3073428030014030e-05    7.8447597885131835e-06
   1.0912647999999999e+04    8.6850000000000000e+02    6.4025210773944858e-05    7.4321203296375269e-06
   1.6238647999999999e+04    1.3275000000000000e+03    3.6220121923542018e-05    4.9075339976978311e-06
   2.2527648000000001e+04    8.2250000000000000e+02    4.3340260231590273e-05    7.2847254436111453e-06
   2.6680148000000001e+04    1.9900000000000000e+02    9.1515999832820886e-05    1.8498478451299665e-05
   5.4320648000000001e+04    3.7355000000000000e+03    1.2783876585359571e-05    3.0692113272571557e-06
   6.2188648000000001e+04    8.9250000000000000e+02    1.2785990595302580e-05    6.1494002242183684e-06
   8.5102648000000001e+04    6.4405000000000000e+03    1.7330602572784423e-05    2.8970341318988800e-06
   1.0570714800000000e+05    9.5360000000000000e+03    3.3945396284866336e-06    2.7071043470191955e-06
   1.3174614799999999e+05    1.2177000000000000e+04    4.2091466165256489e-06    2.3524575295801163e-06
   1.6387614799999999e+05    1.5387000000000000e+04    2.8647381727695466e-06    2.2794579645481111e-06
   1.8759714799999999e+05    3.4260000000000000e+03    8.1753603796005261e-06    4.0112447218608850e-06
   2.6316814799999999e+05    2.0315000000000000e+04    6.5218989641761780e-06    6.3029079100799565e-07
   3.6341414799999999e+05    1.2709000000000000e+04    3.2168354432773590e-06    5.2833693075656878e-07
   4.4957414799999999e+05    1.2109000000000000e+04    3.8221809169578556e-06    5.9962745883464808e-07
   6.6735364800000004e+05    6.6438500000000000e+04    6.8345432057476034e-06    1.0019872259874344e-06
   7.4767914800000004e+05    1.3883000000000000e+04    1.4298781204519272e-05    2.9823076895999912e-06
